CI	S IY
OCCIPITALS	AA K S IH P AH T AH L Z
OCCIPUT	AA K S AH P AH T
OCCIPUTS	AA K S AH P Y UW T S
OCCUPANCIES	AA K Y AH P AH N S IY Z
OCHLOCRACIES	AA K L AA K R AH S IY Z
OCTODECILLION	AA K T AA D AH S IH L IY AH N
OCTODECILLIONS	AA K T AH D AH S IH L IY AH N Z
OFFICIAL	AH F IH SH AH L
OFFICIALDOM	AH F IH SH AH L D AH M
OFFICIALDOMS	AH F IH SH AH L D AH M Z
OFFICIALESE	AA F IH S IY AH L IY Z
OFFICIALESES	AA F IH S IY AH L IY Z AH Z
OFFICIALISM	AH F IH SH AH L IH Z AH M
OFFICIALISMS	AH F IH SH AH L IH Z AH M Z
OFFICIALLY	AH F IH SH AH L IY
OFFICIALS	AH F IH SH AH L Z
OFFICIANT	AH F IH SH IY AH N T
OFFICIANTS	AH F IH SH IY AH N T S
OFFICIARIES	AH F IH SH IY EH R IY Z
OFFICIARY	AH F IH SH IY EH R IY
OFFICIATE	AH F IH SH IY EY T
OFFICIATED	AH F IH SH IY EY T AH D
OFFICIATES	AH F IH SH IY EY T S
OFFICIATING	AH F IH SH IY EY T IH NG
OFFICIATION	AH F IH SH IY EY SH AH N
OFFICIATIONS	AH F IH SH IY EY SH AH N Z
OFFICINAL	AO F IH K S N IH N AH L
OFFICIOUS	AH F IH SH AH S
OFFICIOUSLY	AH F IH SH AH S L IY
OFFICIOUSNESS	AH F IH SH AH S N AH S
OFFICIOUSNESSES	AH F IH SH AH S N AH S IH Z
OITICICA	OY T AH S IY K AH
OITICICAS	OY T AH S IY K AH Z
OLEANDOMYCIN	OW L IY N D AA M AH S AH N
OLEANDOMYCINS	OW L IY N D AA M AH S AH N Z
OMNISCIENCE	AA M N IH SH AH N S
OMNISCIENCES	AA M N IH SH AH N S IH Z
OMNISCIENT	AA M N IH SH AH N T
OMNISCIENTLY	AA M N IH SH AH N T L IY
ONCHOCERCIASES	AO NG K AH S AH R S IY EY Z AH Z
ONCHOCERCIASIS	AO NG K AH S AH R S IY AH S AH S
ONCIDIUM	AA N S IH D IY AH M
ONCIDIUMS	AA N S IH D IY AH M Z
ONCOGENICITIES	AO N K OW JH AH N IH K S AH T IY Z
ONCOGENICITY	AO N K OW JH AH N IH K S AH T IY
ONEIROMANCIES	OW N AH R AH M AE N S AY Z
ONOMASTICIAN	AA N AH M AE S T IH S IY AH N
ONOMASTICIANS	AA N AH M AH S T IH S IY AH N Z
OPACIFIED	AH P AE S AH F AY D
OPACIFIES	AH P AE S AH F AY Z
OPACIFY	OW P AH S AH F AY
OPACIFYING	AA P AH S IH F AY AH NG
OPACITIES	AH P AE S AH T AY Z
OPACITY	OW P AE S AH T IY
OPALESCING	AA P AH L EH S AH NG
OPTICIAN	AA P T IH SH AH N
OPTICIANS	AA P T IH SH AH N Z
OPTICIST	AA P T IH K IH S T
OPTICISTS	AA P T IH K IH S T S
OPULENCIES	AA P Y AH L AH N S IY Z
ORCIN	AO R S AH N
ORCINOL	AO R S AH N AH L
ORCINOLS	AO R S AH N AH L Z
ORCINS	AO R S AH N Z
ORGANICISM	AO R G AE N IH K IH Z AH M
ORGANICISMS	AO R G AE N IH K IH Z AH M Z
ORGANICIST	AO R G AE N IH K IH S T
ORGANICISTS	AO R G AE N IH K IH S T S
ORGANICITIES	AO R G AE N IH K AH T IY Z
ORGANICITY	AO R G AE N IH K AH T IY
ORIFICIAL	AO R AH F AH S IY AH L
OSCILLATE	AA S AH L EY T
OSCILLATED	AA S AH L EY T AH D
OSCILLATES	AA S AH L EY T S
OSCILLATING	AA S AH L EY T IH NG
OSCILLATION	AA S AH L EY SH AH N
OSCILLATIONAL	AA S AH L EY SH AH N AH L
OSCILLATIONS	AA S AH L EY SH AH N Z
OSCILLATOR	AA S AH L EY T ER
OSCILLATORS	AA S AH L EY T ER Z
OSCILLATORY	AA S AH L AH T AO R IY
OSCILLOGRAM	AA S AH L AA G R AH M
OSCILLOGRAMS	AA S AH L AA G R AH M Z
OSCILLOGRAPH	AA S AH L AA G R AH F
OSCILLOGRAPHIC	AA S AH L AA G R AH F AH K
OSCILLOGRAPHICALLY	AA S IH L AA G R AE F AH K AE L IY
OSCILLOGRAPHIES	AA S AH L AA G R AH F AY Z
OSCILLOGRAPHS	AA S AH L AA G R AH F S
OSCILLOGRAPHY	AA S AH L AA G R AH F IY
OSCILLOSCOPE	AO S IH L AH S K OW P
OSCILLOSCOPES	AO S IH L AH S K OW P S
OSCILLOSCOPIC	AA S AH L AA S AH P AH K
OSCINE	AA S AY N
OSCINES	AA S AY N Z
OSCININE	AA S AH N AY N
OSCITANT	AA S AY T AH N T
OSTEOMALACIA	AA S T IY AH M AH L EY SH IY AH
OSTEOMALACIAS	AA S T IY AH M AH L EY S IY AH Z
OSTRACISE	AA S T R AH S AY Z
OSTRACISED	AA S T R EY S IY Z D
OSTRACISES	AA S T R EY S IY Z IH Z
OSTRACISING	AA S T R EY S IY Z IH NG
OSTRACISM	AO S T R AH S IH Z AH M
OSTRACISMS	AA S T R AH S IH Z AH M Z
OSTRACIZE	AO S T R AH S AY Z
OSTRACIZED	AO S T R AH S AY Z D
OSTRACIZES	AA S T R AH S AY Z IH Z
OSTRACIZING	AA S T R AH S AY Z IH NG
OTOTOXICITIES	AA T AH T AA K S IH S AH T AY Z
OTOTOXICITY	AA T AH T AA K S IH S AH T IY
OUTBALANCING	AW T B AE L AH N S IH NG
OUTDANCING	AW T D AE N S IH NG
OUTDISTANCING	AW T D IH S T AH N S IH NG
OUTFACING	AW T F EY S IH NG
OUTPACING	AW T P EY S IH NG
OUTPRICING	AW T P R AY S IH NG
OUTPRODUCING	AW T P R AH D UW S IH NG
OUTRACING	AW T R EY S IH NG
OUTREPRODUCING	AW T R IY P R AH D UW S IH NG
OUTSOURCING	AW T S AO R S IH NG
OUTSOURCINGS	AW T S OW R S IH NG Z
OUTVOICING	AW T V OY S IH NG
OVERBALANCING	OW V ER B AE L AH N S IH NG
OVERCAPACITIES	OW V ER K AH P AE S AH T IY Z
OVERCAPACITY	OW V ER K AH P AE S AH T IY
OVERCIVILIZED	OW V ER S IH V AH L AY Z D
OVERCOMMERCIALIZATION	OW V ER K AH M ER SH AH L AH Z EY SH AH N
OVERCOMMERCIALIZATIONS	OW V ER K AH M ER SH AH L AH Z EY SH AH N Z
OVERCOMMERCIALIZE	OW V ER K AH M ER SH AH L AY Z
OVERCOMMERCIALIZED	OW V ER K AH M ER SH AH L AY Z D
OVERCOMMERCIALIZES	OW V ER K AH M ER SH AH L AY Z IH Z
OVERCOMMERCIALIZING	OW V ER K AH M ER SH AH L AY Z IH NG
OVERCONSCIENTIOUS	OW V ER K AA N CH IY EH N CH AH S
OVERCONSCIOUS	OW V ER K AA N SH AH S
OVEREXCITE	OW V ER EH K S AY T
OVEREXCITED	OW V ER EH K S AY T IH D
OVEREXCITES	OW V ER EH K S AY T S
OVEREXCITING	OW V ER EH K S AY T IH NG
OVEREXERCISE	OW V ER EH K S ER S AY Z
OVEREXERCISED	OW V ER EH K S ER S AY Z D
OVEREXERCISES	OW V ER EH K S ER S AY Z IH Z
OVEREXERCISING	OW V ER EH K S ER S AY Z IH NG
OVEREXPLICIT	OW V ER IH K S P L IH S AH T
OVERFACILE	OW V ER F AE S AH L
OVERPRECISE	OW V ER P R IH S AY S
OVERPRICING	OW V ER P R AY S IH NG
OVERPRODUCING	OW V ER P R AH D Y UW S IH NG
OVERSAUCING	OW V ER S AO S IH NG
OVERSERVICING	OW V ER S ER V AH S IH NG
OVERSOLICITOUS	OW V ER S AH L IH S AH T AH S
OVERSPECIALIZATION	OW V ER S P EH SH AH L AH Z EY SH AH N
OVERSPECIALIZATIONS	OW V ER S P EH SH AH L AH Z EY SH AH N Z
OVERSPECIALIZE	OW V ER S P EH SH AH L AY Z
OVERSPECIALIZED	OW V ER S P EH SH AH L AY Z D
OVERSPECIALIZES	OW V ER S P EH SH AH L AY Z IH Z
OVERSPECIALIZING	OW V ER S P EH SH AH L AY Z IH NG
OVERSUSPICIOUS	OW V ER S AH S P IH SH AH S
OVICIDAL	AH V IH S AH D AH L
OVICIDE	AA V AH S AY D
OVICIDES	AA V AH S AY D Z
OXACILLIN	AA K S AH S IH L AH N
OXACILLINS	AA K S AH S IH L AH N Z
OXYACID	AA K S IY AE S AH D
OXYACIDS	AA K S IY AE S AH D Z
OXYTOCIC	AA K S AH T AH S AH K
OXYTOCICS	AA K S IH T AH S AH S Z
OXYTOCIN	AA K S AH T OW S AH N
OXYTOCINS	AA K S IH T AH S AH N Z
PACIFIABLE	P AE S AH F AY AH B AH L
PACIFIC	P AH S IH F IH K
PACIFICALLY	P AH S IH F IH K AH L IY
PACIFICATION	P AE S AH F AH K EY SH AH N
PACIFICATIONS	P AE S AH F AH K EY SH AH N Z
PACIFICATOR	P AH S IH F IH K AH T ER
PACIFICATORS	P AH S IH F IH K AH T ER Z
PACIFICISM	P AH S IH F IH K IH Z AH M
PACIFICISMS	P AH S IH F IH K IH Z AH M Z
PACIFICIST	P AH S IH F IH K IH S T
PACIFICISTS	P AH S IH F IH K IH S T S
PACIFIED	P AE S AH F AY D
PACIFIER	P AE S AH F AY ER
PACIFIERS	P AE S AH F AY ER Z
PACIFIES	P AE S AH F AY Z
PACIFISM	P AE S IH F IH Z AH M
PACIFISMS	P AE S AH F AH Z AH M Z
PACIFIST	P AE S IH F IH S T
PACIFISTIC	P AE S AH F IH S T IH K
PACIFISTICALLY	P AE S AH F IH S T IH K AH L IY
PACIFISTS	P AE S IH F IH S T S
PACIFY	P AE S AH F AY
PACIFYING	P AE S AH F AY IH NG
PACING	P EY S IH NG
PAEDIATRICIAN	P IY D IY AE T R IH S IY AH N
PAEDIATRICIANS	P IY D IY AH T R IH S IY AH N Z
PANTISOCRACIES	P AE N T AH S AA K R AH S IY Z
PAPACIES	P AE P AH S IY Z
PARAMECIA	P AE R AH M IY SH IY AH
PARAMECIUM	P EH R AH M IY S IY AH M
PARAMECIUMS	P AE R AH M IY S IY AH M Z
PARAMOUNTCIES	P AE R AH M AW N T S AY Z
PARASITICIDAL	P AE R AH S IH T IH K AH D AH L
PARASITICIDE	P AH R AH S IH T AH S AY D
PARASITICIDES	P AH R AH S IH T AH S AY D Z
PARECISM	P AE R AH S IH Z AH M
PARECISMS	P AE R AH S AH Z AH M Z
PARRICIDAL	P AA R IH K S AH D AH L
PARRICIDE	P AE R AH S AY D
PARRICIDES	P AE R AH S AY D Z
PARTICIPANT	P AA R T IH S AH P AH N T
PARTICIPANTS	P AA R T IH S AH P AH N T S
PARTICIPATE	P AA R T IH S AH P EY T
PARTICIPATED	P AA R T IH S AH P EY T AH D
PARTICIPATED(2)	P AA R T IH S AH P EY T IH D
PARTICIPATES	P AA R T IH S AH P EY T S
PARTICIPATING	P AA R T IH S AH P EY T IH NG
PARTICIPATION	P AA R T IH S AH P EY SH AH N
PARTICIPATIONAL	P AA R T IH S AH P EY SH AH N AH L
PARTICIPATIONS	P AA R T IH S AH P EY SH AH N Z
PARTICIPATIVE	P AA R T IH S AH P AH T IH V
PARTICIPATOR	P AA R T IH S AH P AH T ER
PARTICIPATORS	P AA R T IH S AH P AH T ER Z
PARTICIPATORY	P AA R T IH S AH P AH T AO R IY
PARTICIPIAL	P AA R T IH S AH P IY AH L
PARTICIPIALLY	P AA R T IH S AH P IY AH L IY
PARTICIPLE	P AA R T IH S IH P AH L
PARTICIPLES	P AA R T IH S IH P AH L Z
PASTICCI	P AE S T IH K S IY
PASTICCIO	P AE S T IH K S IY OW
PASTICCIOS	P AE S T IH K S IY AH Z
PATENCIES	P EY T AH N S IY Z
PATHOGENICITIES	P AE TH AH JH EH N IH K AH T IY Z
PATHOGENICITY	P AE TH AH JH EH N IH K AH T IY
PATRICIAN	P AH T R IH SH AH N
PATRICIANS	P AH T R IH SH AH N Z
PATRICIATE	P AE T R AY S IY AH T
PATRICIATES	P AE T R AY S IY AH T S
PATRICIDAL	P AE T R AY S AH D AH L
PATRICIDE	P AE T R AH S AY D
PATRICIDES	P AE T R AH S AY D Z
PAUCITIES	P AO S AH T IY Z
PAUCITY	P AO S AH T IY
PEACING	P IY S IH NG
PECCANCIES	P EH K AH N S IY Z
PEDIATRICIAN	P IY D IY AH T R IH SH AH N
PEDIATRICIANS	P IY D IY AH T R IH SH AH N Z
PELLUCID	P EH L UW S AH D
PELLUCIDLY	P EH L AH S IH D L IY
PENANCING	P EH N AH N S IH NG
PENCIL	P EH N S AH L
PENCILED	P EH N S AH L D
PENCILER	P EH N S AH L ER
PENCILERS	P EH N S AH L ER Z
PENCILING	P EH N S AH L IH NG
PENCILINGS	P EH N S AH L IH NG Z
PENCILLED	P EH N S AH L D
PENCILLING	P EH N S AH L IH NG
PENCILLINGS	P EH N S AH L IH NG Z
PENCILS	P EH N S AH L Z
PENDENCIES	P EH N D EH N S AY Z
PENICIL	P EH N AH S AH L
PENICILLAMINE	P EH N IH K S IH L AH M AY N
PENICILLAMINES	P EH N IH K S IH L AH M AY N Z
PENICILLATE	P EH N IH K S IH L AH T
PENICILLIA	P EH N AH S IH L IY AH
PENICILLIN	P EH N AH S IH L AH N
PENICILLINASE	P AH N AH S IH L AH N EY Z
PENICILLINASES	P AH N AH S IH L AH N EY Z AH Z
PENICILLINS	P EH N AH S IH L AH N Z
PENICILLIUM	P EH N AH S IH L IY AH M
PENICILLIUMS	P EH N AH S IH L IY AH M Z
PENICILS	P IY N IH S AH L Z
PENTAZOCINE	P EH N T AE Z AH S AY N
PENTAZOCINES	P EH N T AE Z AH S AY N Z
PERACID	P ER AE S AH D
PERACIDS	P ER AE S AH D Z
PERCIPIENCE	P AH R S IH P IY AH N S
PERCIPIENCES	P AH R S IH P IY EH N S AH Z
PERCIPIENT	P ER S IH P IY AH N T
PERCIPIENT(2)	P ER S IH P Y AH N T
PERCIPIENTLY	P AH R S AH P IY N T L IY
PERCIPIENTS	P AH R S AH P IY N T S
PERIODICITIES	P IH R IY AH D IH S AH T IY Z
PERIODICITY	P IH R IY AH D IH S AH T IY
PERITHECIA	P AH R AH TH IY SH IY AH
PERITHECIAL	P AH R AH TH IY SH AH L
PERITHECIUM	P AH R AH TH IY S IY AH M
PERMANENCIES	P ER M AH N AH N S IY Z
PERNICIOUS	P ER N IH SH AH S
PERNICIOUSLY	P ER N IH SH AH S L IY
PERNICIOUSNESS	P ER N IH SH AH S N AH S
PERNICIOUSNESSES	P ER N IH SH AH S N AH S IH Z
PERSISTENCIES	P ER S IH S T AH N S IY Z
PERSPICACIOUS	P ER S P AH K EY SH AH S
PERSPICACIOUSLY	P ER S P AY S AH S IY AH S L IY
PERSPICACIOUSNESS	P ER S P AY S AH S IY AH S N AH S
PERSPICACIOUSNESSES	P ER S P AY S AH S IY AH S N AH S IH Z
PERSPICACITIES	P AH R S AH K AE S AH T AY Z
PERSPICACITY	P AH R S IH S AH S AH T IY
PERTINACIOUS	P ER T AH N AH S IY AH S
PERTINACIOUSLY	P ER T AH N AH S IY AH S L IY
PERTINACIOUSNESS	P ER T AH N AH S IY AH S N AH S
PERTINACIOUSNESSES	P ER T AH N AH S IY AH S N AH S IH Z
PERTINACITIES	P ER T IH N EY S AH T IY Z
PERTINACITY	P ER T IH N EY S AH T IY
PERTINENCIES	P ER T AH N AH N S IY Z
PESTICIDE	P EH S T AH S AY D
PESTICIDES	P EH S T AH S AY D Z
PETULANCIES	P EH CH AH L AH N S IY Z
PHALLICISM	F AE L AH S IH Z AH M
PHALLICISMS	F AE L AH S AH Z AH M Z
PHARMACIES	F AA R M AH S IY Z
PHARMACIST	F AA R M AH S IH S T
PHARMACISTS	F AA R M AH S IH S T S
PHENACITE	F EH N AH S AY T
PHENACITES	F EH N AH S AY T S
PHENETICIST	F EH N AH T IH S AH S T
PHENETICISTS	F AH N EH T AH S AH S T S
PHOCINE	F AH S AY N
PHONEMICIST	F OW N IY M IH K IH S T
PHONEMICISTS	F OW N IY M IH K IH S T S
PHONETICIAN	F AA N AH T IH S IY AH N
PHONETICIANS	F AA N AH T IH S IY AH N Z
PHOSPHORESCING	F AA S F AH R EH S IH NG
PHOTODISSOCIATE	F OW T OW D IH S OW SH AH T
PHOTODISSOCIATED	F OW T OW D IH S OW SH EY T IH D
PHOTODISSOCIATES	F OW T OW D IH S OW SH AH T S
PHOTODISSOCIATING	F OW T OW D IH S OW SH EY T IH NG
PHOTODISSOCIATION	F OW T OW D IH S OW SH EY SH AH N
PHOTODISSOCIATIONS	F OW T OW D IH S OW SH EY SH AH N Z
PHOTOEXCITATION	F OW T OW IH K S AY T EY SH AH N
PHOTOEXCITATIONS	F OW T OW IH K S AY T EY SH AH N Z
PHOTOEXCITED	F OW T OW IH K S AY T IH D
PHOTOREDUCING	F OW T OW R IH D UW S IH NG
PHOTOTOXICITIES	F OW T OW T AA K S IH K AH T IY Z
PHOTOTOXICITY	F OW T OW T AA K S IH K AH T IY
PHYSICIAN	F AH Z IH SH AH N
PHYSICIANS	F AH Z IH SH AH N Z
PHYSICIANS(2)	F IH Z IH SH AH N Z
PHYSICIST	F IH Z IH S IH S T
PHYSICISTS	F IH Z IH S IH S T S
PHYTOSOCIOLOGICAL	F IH T AH S AH S IY AA L AH JH IH S AH L
PHYTOSOCIOLOGIES	F AH T AH S AH S IY AA L AH JH AY Z
PHYTOSOCIOLOGY	F IH T AH S AH S IY AA L AH JH IY
PHYTOTOXICITIES	F IH T AH T AA K S IH S AH T AY Z
PHYTOTOXICITY	F IH T AH T AA K S IH S AH T IY
PICIFORM	P IH S AH F AH R M
PIECING	P IY S IH NG
PIECINGS	P IY S IH NG Z
PIERCING	P IH R S IH NG
PIERCINGLY	P IH ER S IH NG L IY
PIERCINGS	P IH ER S IH NG Z
PIEZOELECTRICITIES	P IY EY Z OW AH L EH K T R IH S AH T IY Z
PIEZOELECTRICITY	P IY EY Z OW AH L EH K T R IH S AH T IY
PIQUANCIES	P IY K AH N S IY Z
PIRACIES	P AY R AH S IY Z
PISCICULTURE	P IH S AH K AH L T Y AH R
PISCICULTURES	P IH S AH K AH L T Y AH R Z
PISCINA	P IH S AH N AH
PISCINAE	P IH S AH N IY
PISCINAL	P IH S AH N AH L
PISCINAS	P IH S AH N AH Z
PISCINE	P IH S AY N
PISCIVOROUS	P IH S IH V AH R AH S
PLACID	P L AE S AH D
PLACID(2)	P L AE S IH D
PLACIDITIES	P L AE S AH D AH T IY Z
PLACIDITY	P L AE S AH D AH T IY
PLACIDLY	P L AE S IH D L IY
PLACIDNESS	P L AE S AH D N AH S
PLACIDNESSES	P L AE S AH D N AH S IH Z
PLACING	P L EY S IH NG
PLANGENCIES	P L AE N JH EH N S AY Z
PLANTOCRACIES	P L AE N T AA K R AH S IY Z
PLASTICINE	P L AE S T IH S IY N
PLASTICINES	P L AE S T AH S AY N Z
PLASTICITIES	P L AE S T IH S AH T IY Z
PLASTICITY	P L AE S T IH S AH T IY
PLASTICIZATION	P L AE S T IH K AH Z EY SH AH N
PLASTICIZATIONS	P L AE S T IH K AH Z EY SH AH N Z
PLASTICIZE	P L AE S T IH K AY Z
PLASTICIZED	P L AE S T IH K AY Z D
PLASTICIZER	P L AE S T AH S AY Z ER
PLASTICIZERS	P L AE S T IH K AY Z ER Z
PLASTICIZES	P L AE S T IH K AY Z IH Z
PLASTICIZING	P L AE S T IH K AY Z IH NG
PLEBISCITARY	P L AH B IH S AH T EH R IY
PLEBISCITE	P L EH B AH S AY T
PLEBISCITE(2)	P L IY B IH S AY T
PLEBISCITES	P L EH B AH S AY T S
PLIANCIES	P L AY AH N S IY Z
PLUTOCRACIES	P L UW T AA K R AH S IY Z
PNEUMATICITIES	N Y UW M AH T IH S AH T AY Z
PNEUMATICITY	N Y UW M AH T IH S AH T IY
PNEUMOCOCCI	N Y UW M AH K AA K S IY
POETICISM	P OW EH T IH K IH Z AH M
POETICISMS	P OW EH T IH K IH Z AH M Z
POETICIZE	P OW EH T IH K AY Z
POETICIZED	P OW EH T IH K AY Z D
POETICIZES	P OW EH T IH K AY Z IH Z
POETICIZING	P OW EH T IH K AY Z IH NG
POIGNANCIES	P OY N Y AH N S IY Z
POINCIANA	P OY N S IY AH N AH
POINCIANAS	P OY N S IY AH N AH Z
POLEMICIST	P AH L EH M AH S AH S T
POLEMICISTS	P AH L EH M IH K IH S T S
POLEMICIZE	P AH L EH M IH K AY Z
POLEMICIZED	P AH L EH M IH K AY Z D
POLEMICIZES	P AH L EH M IH K AY Z IH Z
POLEMICIZING	P AH L EH M IH K AY Z IH NG
POLICIES	P AA L AH S IY Z
POLICING	P AH L IY S IH NG
POLITICIAN	P AA L AH T IH SH AH N
POLITICIANS	P AA L AH T IH SH AH N Z
POLITICISE	P AH L IH T AH S AY Z
POLITICISED	P AA L AH T IH K IY Z D
POLITICISES	P AA L AH T IH K IY Z IH Z
POLITICISING	P AA L AH T IH K IY Z IH NG
POLITICIZATION	P AH L IH T AH S AH Z EY SH AH N
POLITICIZATIONS	P AA L AH T IH K AH Z EY SH AH N Z
POLITICIZE	P AH L IH T IH S AY Z
POLITICIZED	P AH L IH T IH S AY Z D
POLITICIZES	P AA L AH T IH K AY Z IH Z
POLITICIZING	P AH L IH T IH S AY Z IH NG
POLYCISTRONIC	P AA L AH S IH S T R AH N AH K
PONCING	P AA N S AH NG
PORCINE	P AO R S AY N
PORCINI	P AO R S AH N IY
PORCINO	P AO R S AH N OW
POSTACCIDENT	P OW S T AE K S AH D AH N T
POSTEXERCISE	P OW S T EH K S ER S AY Z
POSTGLACIAL	P OW S T G L EY SH AH L
POSTSYNCING	P AA S T S IH N S AH NG
POSTULANCIES	P AA S CH AH L AH N S IY Z
POSTVACCINAL	P OW S T V AE K S IY N AH L
POSTVACCINATION	P OW S T V AE K S AH N EY SH AH N
POTENCIES	P OW T AH N S IY Z
POULTICING	P OW L T AH S IH NG
POUNCING	P AW N S IH NG
PRACTICING	P R AE K T IH S IH NG
PRAECIPE	P R IY S AY P
PRAECIPES	P R IY S AY P S
PRAGMATICISM	P R AE G M AE T IH K IH Z AH M
PRAGMATICISMS	P R AE G M AE T IH K IH Z AH M Z
PRAGMATICIST	P R AE G M AE T IH K IH S T
PRAGMATICISTS	P R AE G M AE T IH K IH S T S
PRANCING	P R AE N S IH NG
PREANNOUNCING	P R IY AH N AW N S IH NG
PRECEDENCIES	P R EH S AH D AH N S IY Z
PRECIEUSE	P R IY S Y UW Z
PRECIEUX	P R IY S Y UW K S
PRECINCT	P R IY S IH NG K T
PRECINCT(2)	P R IY S IH NG K
PRECINCTS	P R IY S IH NG K T S
PRECINCTS(2)	P R IY S IH NG K S
PRECIOSITIES	P R IY S AY AA S AH T AY Z
PRECIOSITY	P R IY S AY AA Z AH T IY
PRECIOUS	P R EH SH AH S
PRECIOUSES	P R EH SH AH S IH Z
PRECIOUSLY	P R EH SH AH S L IY
PRECIOUSNESS	P R EH SH AH S N AH S
PRECIOUSNESSES	P R EH SH AH S N AH S IH Z
PRECIPE	P R IY S AY P
PRECIPES	P R IY S AY P S
PRECIPICE	P R EH S IH P AH S
PRECIPICES	P R EH S AH P AH S IH Z
PRECIPITABLE	P R IY S AH P IH T AH B AH L
PRECIPITANCE	P R IY S IH P AH T AH N S
PRECIPITANCES	P R IY S IH P AH T AE N S AH Z
PRECIPITANCIES	P R IY S AH P AH T AE N S AY Z
PRECIPITANCY	P R IY S IH P AH T AE N S IY
PRECIPITANT	P R IY S IH P AH T AH N T
PRECIPITANTLY	P R IY S IH P AH T AE N T L IY
PRECIPITANTNESS	P R IY S IH P AH T AE N T N AH S
PRECIPITANTNESSES	P R IY S IH P AH T AE N T N EH S AH Z
PRECIPITANTS	P R IY S IH P AH T AH N T S
PRECIPITATE	P R IH S IH P IH T EY T
PRECIPITATED	P R IH S IH P IH T EY T IH D
PRECIPITATELY	P R IH S IH P AH T EY T L IY
PRECIPITATENESS	P R IH S IH P AH T EY T N AH S
PRECIPITATENESSES	P R IH S IH P AH T EY T N AH S IH Z
PRECIPITATES	P R IH S IH P AH T EY T S
PRECIPITATING	P R IH S IH P AH T EY T IH NG
PRECIPITATION	P R IH S IH P IH T EY SH AH N
PRECIPITATIONS	P R IH S IH P AH T EY SH AH N Z
PRECIPITATIVE	P R IH S IH P AH T EY T IH V
PRECIPITATOR	P R IH S IH P AH T EY T ER
PRECIPITATORS	P R IH S IH P AH T EY T ER Z
PRECIPITIN	P R IH S IH P AH T AH N
PRECIPITINOGEN	P R IY S AH P AH T IH N AH JH AH N
PRECIPITINOGENS	P R IY S IH P AH T IH N AH JH AH N Z
PRECIPITINS	P R IH S IH P AH T AH N Z
PRECIPITOUS	P R IH S IH P IH T AH S
PRECIPITOUSLY	P R IY S IH P IH T AH S L IY
PRECIPITOUSNESS	P R IY S IH P AH T AW Z N AH S
PRECIPITOUSNESSES	P R IY S IH P AH T AW Z N EH S AH Z
PRECIS	P R EY S IY
PRECISE	P R IH S AY S
PRECISE(2)	P R IY S AY S
PRECISED	P R IH S AY S T
PRECISELY	P R IH S AY S L IY
PRECISELY(2)	P R IY S AY S L IY
PRECISENESS	P R IH S AY S N AH S
PRECISENESSES	P R IH S AY S N AH S IH Z
PRECISER	P R IH S AY S ER
PRECISES	P R IH S AY S IH Z
PRECISEST	P R IH S AY S AH S T
PRECISIAN	P R IY S AH S IY AH N
PRECISIANS	P R IY S IH S IY AH N Z
PRECISING	P R IH S AY S IH NG
PRECISION	P R IY S IH ZH AH N
PRECISIONIST	P R IH S AY ZH AH N IH S T
PRECISIONISTS	P R IH S AY ZH AH N IH S T S
PRECISIONS	P R IH S AY ZH AH N Z
PRECITED	P R IY S AY T IH D
PRECOCIAL	P R IY K OW SH AH L
PRECOCIOUS	P R IH K OW SH AH S
PRECOCIOUS(2)	P R IY K OW SH AH S
PRECOCIOUSLY	P R IH K OW SH AH S L IY
PRECOCIOUSNESS	P R IH K OW SH AH S N AH S
PRECOCIOUSNESSES	P R IH K OW SH AH S N AH S IH Z
PRECOCITIES	P R IH K AA S AH T IY Z
PRECOCITY	P R IH K AA S AH T IY
PRECONSCIOUS	P R IY K AA N SH AH S
PRECONSCIOUSES	P R IY K AA N SH AH S IH Z
PRECONSCIOUSLY	P R IY K AA N SH AH S L IY
PREDACIOUS	P R IY D AH S IY AH S
PREDACITIES	P R IY D AE S AH T AY Z
PREDACITY	P R IY D AH S AH T IY
PREDOMINANCIES	P R IY D AA M AH N AH N S IY Z
PREFACING	P R EH F AH S IH NG
PREFASCIST	P R IY F AE SH AH S T
PREFASCISTS	P R IY F AE SH AH S T S
PREFINANCING	P R IY F AH N AE N S IH NG
PREGNANCIES	P R EH G N AH N S IY Z
PREJUDICIAL	P R EH JH AH D IH SH AH L
PREJUDICIALLY	P R EH JH AH D IH SH AH L IY
PREJUDICIALNESS	P R EH JH AH D IH SH AH L N AH S
PREJUDICIALNESSES	P R EH JH AH D IH SH AH L N AH S IH Z
PREJUDICING	P R EH JH AH D IH S IH NG
PRELACIES	P R IY L EY S IY Z
PRENTICING	P R EH N T AH S IH NG
PREOCCUPANCIES	P R IY AA K Y AH P AH N S IY Z
PREPLACING	P R IY P L EY S IH NG
PREPONDERANCIES	P R IY P AA N D ER AH N S IY Z
PREPOTENCIES	P R IY P OW T AH N S IY Z
PREPRICING	P R IY P R AY S IH NG
PRESCIENCE	P R IY SH IY AH N S
PRESCIENCES	P R IY S AY AH N S IH Z
PRESCIENT	P R EH S IY AH N T
PRESCIENTIFIC	P R IY S AY AH N T IH F IH K
PRESCIENTLY	P R IY S AY AH N T L IY
PRESCIND	P R IY S AY N D
PRESCINDED	P R IY S AY N D AH D
PRESCINDING	P R IY S AY N D AH NG
PRESCINDS	P R IY S AY N D Z
PRESENTENCING	P R IY S EH N T AH N S IH NG
