TE	T IY
COUNTERSPELLS	K AW N T ER S P EH L Z
COUNTERSPIES	K AW N T ER S P AY Z
COUNTERSPY	K AW N T ER S P AY
COUNTERSTAIN	K AW N T ER S T EY N
COUNTERSTAINED	K AW N T ER S T EY N D
COUNTERSTAINING	K AW N T ER S T EY N IH NG
COUNTERSTAINS	K AW N T ER S T EY N Z
COUNTERSTATE	K AW N T ER S T EY T
COUNTERSTATED	K AW N T ER S T EY T IH D
COUNTERSTATEMENT	K AW N T ER S T EY T M AH N T
COUNTERSTATEMENTS	K AW N T ER S T EY T M AH N T S
COUNTERSTATES	K AW N T ER S T EY T S
COUNTERSTATING	K AW N T ER S T EY T IH NG
COUNTERSTEP	K AW N T ER S T EH P
COUNTERSTEPPED	K AW N T ER S T EH P T
COUNTERSTEPPING	K AW N T ER S T EH P IH NG
COUNTERSTEPS	K AW N T ER S T EH P S
COUNTERSTRATEGIES	K AW N T ER S T R AE T AH JH IY Z
COUNTERSTRATEGIST	K OW AH N T AH R S T R AE T AH JH AH S T
COUNTERSTRATEGISTS	K OW AH N T AH R S T R AE T AH JH AH S T S
COUNTERSTRATEGY	K AW N T ER S T R AE T AH JH IY
COUNTERSTREAM	K AW N T ER S T R IY M
COUNTERSTREAMS	K AW N T ER S T R IY M Z
COUNTERSTRIKE	K AW N T ER S T R AY K
COUNTERSTRIKES	K AW N T ER S T R AY K S
COUNTERSTROKE	K AW N T ER S T R OW K
COUNTERSTROKES	K AW N T ER S T R OW K S
COUNTERSTYLE	K AW N T ER S T AY L
COUNTERSTYLES	K AW N T ER S T AY L Z
COUNTERSUE	K AW N T ER S UW
COUNTERSUED	K AW N T ER S UW D
COUNTERSUES	K AW N T ER S UW Z
COUNTERSUGGESTION	K AW N T ER S AH G JH EH S SH AH N
COUNTERSUGGESTIONS	K AW N T ER S AH G JH EH S SH AH N Z
COUNTERSUING	K AW N T ER S UW IH NG
COUNTERSUIT	K AW N T ER S UW T
COUNTERSUITS	K AW N T ER S UW T S
COUNTERSUNK	K AW N T ER S AH NG K
COUNTERSURVEILLANCE	K AW N T ER S ER V EY L AH N S
COUNTERSURVEILLANCES	K AW N T ER S ER V EY L AH N S IH Z
COUNTERTACTICS	K AW N T ER T AE K T IH K S
COUNTERTENDENCIES	K AW N T ER T EH N D AH N S IY Z
COUNTERTENDENCY	K AW N T ER T EH N D AH N S IY
COUNTERTENOR	K AW N T ER T EH N ER
COUNTERTENORS	K AW N T ER T EH N ER Z
COUNTERTERROR	K AW N T ER T EH R ER
COUNTERTERRORISM	K AW N T ER T EH R ER IH Z AH M
COUNTERTERRORISMS	K AW N T ER T EH R ER IH Z AH M Z
COUNTERTERRORIST	K AW N T ER T EH R ER IH S T
COUNTERTERRORISTS	K AW N T ER T EH R ER IH S T S
COUNTERTERRORS	K AW N T ER T EH R ER Z
COUNTERTHREAT	K AW N T ER TH R EH T
COUNTERTHREATS	K AW N T ER TH R EH T S
COUNTERTHRUST	K AW N T ER TH R AH S T
COUNTERTHRUSTS	K AW N T ER TH R AH S T S
COUNTERTOP	K AW N T ER T AA P
COUNTERTOPS	K AW N T ER T AA P S
COUNTERTRADE	K AW N T ER T R EY D
COUNTERTRADES	K AW N T ER T R EY D Z
COUNTERTRADITION	K AW N T ER T R AH D IH SH AH N
COUNTERTRADITIONS	K AW N T ER T R AH D IH SH AH N Z
COUNTERTRANSFERENCE	K AW N T ER T R AE N S F ER AH N S
COUNTERTRANSFERENCES	K AW N T ER T R AE N S F ER AH N S IH Z
COUNTERTREND	K AW N T ER T R EH N D
COUNTERTRENDS	K AW N T ER T R EH N D Z
COUNTERVAIL	K AW N T ER V EY L
COUNTERVAILED	K AW N T ER V EY L D
COUNTERVAILING	K AW N T ER V EY L IH NG
COUNTERVAILS	K AW N T ER V EY L Z
COUNTERVIEW	K AW N T ER V Y UW
COUNTERVIEWS	K AW N T ER V Y UW Z
COUNTERVIOLENCE	K AW N T ER V AY AH L AH N S
COUNTERVIOLENCES	K AW N T ER V AY AH L AH N S IH Z
COUNTERWEIGHT	K AW N T ER W EY T
COUNTERWEIGHTED	K AW N T ER W EY T IH D
COUNTERWEIGHTING	K AW N T ER W EY T IH NG
COUNTERWEIGHTS	K AW N T ER W EY T S
COUNTERWORLD	K AW N T ER W ER L D
COUNTERWORLDS	K AW N T ER W ER L D Z
COUNTESS	K AW N T AH S
COUNTESSES	K AW N T AH S IH Z
COURANTE	K OW Y UH R AH N T
COURANTES	K OW Y UH R AH N T S
COURGETTE	K OW ER JH EH T
COURGETTES	K OW ER JH EH T S
COURTED	K AO R T IH D
COURTEOUS	K ER T IY AH S
COURTEOUSLY	K ER T IY AH S L IY
COURTEOUSNESS	K ER T IY AH S N AH S
COURTEOUSNESSES	K ER T IY AH S N AH S IH Z
COURTER	K AO R T ER
COURTERS	K OW R T ER Z
COURTESAN	K OW R T AH S AH N
COURTESANS	K OW R T AH S AH N Z
COURTESIED	K ER T AH S IY D
COURTESIES	K ER T AH S IY Z
COURTESY	K ER T AH S IY
COURTESYING	K ER T AH S IY IH NG
COUTEAU	K OW Y UW T IY UW
COUTEAUX	K OW Y UW T IY AH K S
COUTER	K OW Y UW T AH R
COUTERS	K OW Y UW T AH R Z
COVELLITE	K OW V EH L AY T
COVELLITES	K OW V EH L AY T S
COVENANTED	K AH V AH N AH N T IH D
COVENANTEE	K AH V AH N AH N T IY
COVENANTEES	K AH V AH N AH N T IY Z
COVENANTER	K AH V AH N AH N T ER
COVENANTERS	K AH V AH N AH N T ER Z
COVETED	K AH V AH T IH D
COVETER	K AH V AH T ER
COVETERS	K AH V AH T ER Z
COWRITE	K OW R AY T
COWRITES	K OW R AY T S
COWRITTEN	K OW R IH T AH N
COWROTE	K OW R OW T
COYOTE	K AY OW T IY
COYOTE(2)	K AY OW T
COYOTES	K AY OW T IY S
COYOTES(2)	K AY OW T S
CRAFTED	K R AE F T IH D
CRANIATE	K R EY N IY AH T
CRANIATES	K R EY N IY AH T S
CRAPSHOOTER	K R AE P SH UW T ER
CRAPSHOOTERS	K R AE P SH UW T ER Z
CRATE	K R EY T
CRATED	K R EY T IH D
CRATER	K R EY T ER
CRATERED	K R EY T ER D
CRATERING	K R EY T ER IH NG
CRATERLET	K R EY T ER L AH T
CRATERLETS	K R EY T ER L AH T S
CRATERLIKE	K R EY T ER L AY K
CRATERS	K R EY T ER Z
CRATES	K R EY T S
CREATE	K R IY EY T
CREATED	K R IY EY T AH D
CREATED(2)	K R IY EY T IH D
CREATES	K R IY EY T S
CREDITED	K R EH D AH T AH D
CREDITED(2)	K R EH D IH T IH D
CREMATE	K R IY M EY T
CREMATED	K R IY M EY T IH D
CREMATES	K R IY M EY T S
CRENATE	K R IY N EY T
CRENATED	K R IY N EY T AH D
CRENELATED	K R EH N AH L EY T AH D
CRENELLATED	K R EH N AH L EY T AH D
CRENULATE	K R IY N Y AH L EY T
CRENULATED	K R IY N Y AH L EY T AH D
CREOSOTE	K R IY AH S OW T
CREOSOTED	K R IY AH S OW T AH D
CREOSOTES	K R IY AH S OW T S
CREPITATE	K R EH P AH T EY T
CREPITATED	K R EH P AH T EY T AH D
CREPITATES	K R EH P AH T EY T S
CRESTED	K R EH S T IH D
CREWMATE	K R UW M EY T
CREWMATES	K R UW M EY T S
CRICKETED	K R IH K AH T IH D
CRICKETER	K R IH K AH T ER
CRICKETERS	K R IH K AH T ER Z
CRIMINATE	K R IH M AH N AH T
CRIMINATED	K R IH M AH N EY T IH D
CRIMINATES	K R IH M AH N AH T S
CRINITE	K R AH N AY T
CRINITES	K R AH N AY T S
CRISPATE	K R IH S P AH T
CRISTATE	K R IH S T EY T
CRITERIA	K R AY T IH R IY AH
CRITERION	K R AY T IH R IY AH N
CRITERIONS	K R AY T IH R IY AH N Z
CRITERIUM	K R AH T IY R IY AH M
CRITERIUMS	K R AH T IY R IY AH M Z
CRITICASTER	K R IH T IH K AE S T ER
CRITICASTERS	K R IH T IH K AE S T ER Z
CRITTER	K R IH T ER
CRITTERS	K R IH T ER Z
CROCHETED	K R OW SH EY D
CROCHETER	K R OW SH EY ER
CROCHETERS	K R OW SH EY ER Z
CROCIDOLITE	K R AH S IH D AH L AY T
CROCIDOLITES	K R AH S IH D AH L AY T S
CROCKETED	K R AA K AH T IH D
CROCOITE	K R AH K OY T
CROCOITES	K R AH K OY T S
CROFTER	K R AO F T ER
CROFTERS	K R AO F T ER Z
CROQUETED	K R AH K IY T AH D
CROQUETTE	K R AA K W EH T
CROQUETTES	K R AA K W EH T S
CROSSOPTERYGIAN	K R AA S AA P T EH R AH JH AH N
CROSSOPTERYGIANS	K R AA S AA P T AH R IH JH IY AH N Z
CROWSTEP	K R OW S T EH P
CROWSTEPPED	K R OW S T EH P T
CROWSTEPS	K R OW S T EH P S
CRUCIATE	K R UW S AY EY T
CRUDITES	K R UW D AY T S
CRUSTED	K R AH S T IH D
CRYOLITE	K R AY AH L AY T
CRYOLITES	K R AY AH L AY T S
CRYOPROTECTANT	K R AY AA P R AH T EH K T AH N T
CRYOPROTECTANTS	K R AY AA P R AH T EH K T AH N T S
CRYOPROTECTIVE	K R AY AA P R AH T EH K T AH V
CRYSTALLITE	K R IH S T AH L AY T
CRYSTALLITES	K R IH S T AH L AY T S
CTENIDIA	K T AH N IH D IY AH
CTENIDIUM	K T AH N IH D IY AH M
CTENOID	K T IY N OY D
CTENOPHORAN	K T AH N AA F AH R AH N
CTENOPHORANS	K T AH N AA F AH R AH N Z
CTENOPHORE	K T EH N AH F AH R
CTENOPHORES	K T EH N AH F AH R Z
CUCULLATE	K Y UW K AH L EY T
CULMINATE	K AH L M IH N EY T
CULMINATED	K AH L M AH N EY T AH D
CULMINATED(2)	K AH L M AH N EY T IH D
CULMINATES	K AH L M IH N EY T S
CULOTTE	K Y UW L AH T
CULOTTES	K Y UW L AH T S
CULTIVATE	K AH L T AH V EY T
CULTIVATED	K AH L T AH V EY T IH D
CULTIVATES	K AH L T IH V EY T S
CULTRATE	K AH L T R EY T
CUMULATE	K Y UW M Y AH L AH T
CUMULATED	K Y UW M Y AH L EY T IH D
CUMULATES	K Y UW M Y AH L AH T S
CUNEATE	K Y UW N IY EY T
CUNEATED	K Y UW N IY EY T AH D
CUPRITE	K AH P R AY T
CUPRITES	K AH P R AY T S
CUPULATE	K Y UW P Y AH L EY T
CURATE	K Y UH R AH T
CURATED	K Y UH R EY T IH D
CURATES	K Y UH R AH T S
CURETTE	K Y UH R EH T
CURETTED	K Y UH R EH T IH D
CURETTEMENT	K Y UH R EH T M AH N T
CURETTEMENTS	K Y UH R EH T M AH N T S
CURETTES	K Y UH R EH T S
CURITE	K Y AH R AY T
CURITES	K Y AH R AY T S
CURTATE	K ER T AH T
CURTER	K ER T ER
CURTESIES	K AH R T AH S AY Z
CURTEST	K ER T AH S T
CURTESY	K AH R T S IY
CURVETED	K ER V T EH D
CURVETTED	K ER V EH T IH D
CUSPATE	K AH S P AH T
CUSPATED	K AH S P EY T IH D
CUSPIDATE	K AH S P AH D AH T
CUTE	K Y UW T
CUTELY	K Y UW T L IY
CUTENESS	K Y UW T N AH S
CUTENESSES	K Y UW T N AH S IH Z
CUTER	K Y UW T ER
CUTES	K Y UW T S
CUTESIE	K Y UW T S IY
CUTESIER	K Y UW T S IY ER
CUTESIEST	K Y UW T S IY AH S T
CUTEST	K Y UW T IH S T
CUTESY	K Y UW T S IY
CUTEY	K Y UW T IY
CUTEYS	K Y UW T IY Z
CUTTER	K AH T ER
CUTTERS	K AH T ER Z
CUTWATER	K AH T W AO T ER
CUTWATERS	K AH T W AO T ER Z
CUVETTE	K Y UW V EH T
CUVETTES	K Y UW V EH T S
CYANATE	S AY AH N EY T
CYANATES	S AY AH N EY T S
CYANITE	S AY AH N AY T
CYANITES	S AY AH N AY T S
CYANOACRYLATE	S AY AH N OW K R AH L EY T
CYANOACRYLATES	S AY AH N OW K R AH L EY T S
CYANOBACTERIA	S AY AE N AH B AH K T IY R IY AH
CYANOBACTERIUM	S AY AE N AH B AH K T IY R IY AH M
CYANOETHYLATE	S AY AH N OW EH TH AH L EY T
CYANOETHYLATED	S AY AH N OW EH TH AH L EY T AH D
CYANOETHYLATES	S AY AH N OW EH TH AH L EY T S
CYBERNATED	S IH B AH R N EY T AH D
CYCADOPHYTE	S AH K AE D AH F AY T
CYCADOPHYTES	S AH K AE D AH F AY T S
CYCLAMATE	S IH K L AH M EY T
CYCLAMATES	S IH K L AH M EY T S
CYCLOMETER	S IH K L AA M AH T AH R
CYCLOMETERS	S IH K L AA M AH T AH R Z
CYPROTERONE	S IH P R AA T AH R OW N
CYPROTERONES	S IH P R AA T AH R OW N Z
CYSTEAMINE	S IH S T AH M AY N
CYSTEAMINES	S IH S T AH M AY N Z
CYSTEIN	S IH S T IY N
CYSTEINE	S IH S T IY N
CYSTEINES	S IH S T IY N Z
CYSTEINS	S IH S T IY N Z
CYTASTER	S AH T AE S T AH R
CYTASTERS	S AH T AE S T AH R Z
CYTOTECHNOLOGIES	S IH T AH T EH K N AA L AH JH AY Z
CYTOTECHNOLOGIST	S IH T AH T EH K N AA L AH JH AH S T
CYTOTECHNOLOGISTS	S IH T AH T AH K N AA L AH JH AH S T S
CYTOTECHNOLOGY	S IH T AH T EH K N AA L AH JH IY
DABSTER	D AE B S T ER
DABSTERS	D AE B S T ER Z
DAFTER	D AE F T AH R
DAFTEST	D AE F T AH S T
DARTED	D AA R T IH D
DARTER	D AA R T ER
DARTERS	D AA R T ER Z
DATE	D EY T
DATEABLE	D EY T AH B AH L
DATEBOOK	D EY T B UH K
DATEBOOKS	D EY T B UH K S
DATED	D EY T IH D
DATEDLY	D EY T AH D L IY
DATEDNESS	D EY T AH D N AH S
DATEDNESSES	D EY T AH D N AH S IH Z
DATELESS	D EY T L AH S
DATELINE	D EY T L AY N
DATELINED	D EY T L AY N D
DATELINES	D EY T L AY N Z
DATELINING	D EY T L AY N IH NG
DATER	D EY T ER
DATERS	D EY T ER Z
DATES	D EY T S
DAUGHTER	D AO T ER
DAUGHTERLESS	D AO T ER L AH S
DAUGHTERS	D AO T ER Z
DAUNTED	D AO N T IH D
DAUNTER	D AO N T ER
DAUNTERS	D AO N T ER Z
DAUTED	D EY Y UW T AH D
DAWSONITE	D AO S AH N AY T
DAWSONITES	D AO S AH N AY T S
DAWTED	D AO T AH D
DAYLIGHTED	D EY L AY T IH D
DEACTIVATE	D IY AE K T IH V EY T
DEACTIVATED	D IY AE K T IH V EY T IH D
DEACTIVATES	D IY AE K T IH V AH T S
DEADLIFTED	D EH D L IH F T IH D
DEAERATE	D IY AE ER AH T
DEAERATED	D IY AE ER EY T IH D
DEAERATES	D IY AE ER AH T S
DEALATE	D IY L AH T
DEALATED	D IY L EY T IH D
DEALATES	D IY L AH T S
DEAMINATE	D IY AH M AY N AH T
DEAMINATED	D IY AH M AY N EY T IH D
DEAMINATES	D IY AH M AY N AH T S
DEBATE	D AH B EY T
DEBATED	D AH B EY T IH D
DEBATEMENT	D AH B EY T M AH N T
DEBATEMENTS	D AH B EY T M AH N T S
DEBATER	D AH B EY T ER
DEBATERS	D AH B EY T ER Z
DEBATES	D AH B EY T S
DEBILITATE	D AH B IH L AH T EY T
DEBILITATED	D AH B IH L AH T EY T IH D
DEBILITATES	D AH B IH L AH T AH T S
DEBITED	D IY B AY T EH D
DEBUTANTE	D EH B Y AH T AA N T
DEBUTANTES	D EH B Y AH T AA N T S
DEBUTED	D EY B Y UW D
DEBUTED(2)	D EY B Y UW T IH D
DECAFFEINATE	D IY K AE F AH N EY T
DECAFFEINATED	D IY K AE F AH N EY T IH D
DECAFFEINATES	D AH K AE F AH N EY T S
DECALITER	D IH K AH L AY T AH R
DECALITERS	D AH K AE L AH T AH R Z
DECAMETER	D AH K AE M AH T AH R
DECAMETERS	D AH K AE M AH T AH R Z
DECANTED	D IY S AH N T IH D
DECANTER	D IY K AE N T ER
DECANTERS	D IY K AE N T ER Z
DECAPITATE	D IY K AE P AH T EY T
DECAPITATED	D IY K AE P AH T EY T IH D
DECAPITATES	D AH K AE P AH T EY T S
DECARBONATE	D IY K AA R B AH N AH T
DECARBONATED	D IY K AA R B AH N EY T IH D
DECARBONATES	D IY K AA R B AH N AH T S
DECARBOXYLATE	D IY S ER B AA K S IY L EY T
DECARBOXYLATED	D IY S ER B AA K S IY L EY T IH D
DECARBOXYLATES	D IY S ER B AA K S IY L EY T S
DECATHLETE	D IY K AE TH L IY T
DECATHLETES	D AH K AE TH L IY T S
DECELERATE	D IH S EH L ER EY T
DECELERATED	D IH S EH L ER EY T IH D
DECELERATES	D IY S EH L AH R EY T S
DECEMVIRATE	D AH S EH M V AH R EY T
DECEMVIRATES	D AH S EH M V AH R EY T S
DECENTER	D IY S EH N T ER
DECENTERED	D IY S EH N T ER D
DECENTERING	D IY S EH N T ER IH NG
DECENTERS	D IY S EH N T ER Z
DECENTEST	D IY S AH N T AH S T
DECEREBRATE	D IY S EH R AH B R AH T
DECEREBRATED	D IY S EH R AH B R EY T IH D
DECEREBRATES	D IY S EH R AH B R AH T S
DECHLORINATE	D IY K L OW R IY N AH T
DECHLORINATED	D IY K L OW R IY N EY T IH D
DECHLORINATES	D IY K L OW R IY N AH T S
DECIDUATE	D AH S IH D Y UW EY T
DECILITER	D EH S AH L IY T ER
DECILITERS	D AH S IH L AH T AH R Z
DECIMATE	D EH S AH M EY T
DECIMATED	D EH S AH M EY T IH D
DECIMATES	D IH S AH M EY T S
DECIMETER	D AH S IH M AH T AH R
DECIMETERS	D AH S IH M AH T AH R Z
DECOCTED	D AH K AA K T AH D
DECOLLATE	D IY K AH L EY T
DECOLLATED	D IY K AH L EY T IH D
DECOLLATES	D IY K AH L EY T S
DECOLLETE	D IH K AH L IY T
DECOLLETES	D IH K AH L IY T S
DECOMPENSATE	D IY K AA M P AH N S EY T
DECOMPENSATED	D IY K AA M P AH N S EY T IH D
DECOMPENSATES	D IY K AA M P AH N S EY T S
DECONCENTRATE	D IY K AA N S AH N T R EY T
DECONCENTRATED	D IY K AA N S AH N T R EY T IH D
DECONCENTRATES	D IY K AA N S AH N T R EY T S
DECONGESTED	D IY K AH N JH EH S T IH D
DECONSECRATE	D IY K AA N S AH K R EY T
DECONSECRATED	D IY K AA N S AH K R EY T IH D
DECONSECRATES	D IY K AA N S AH K R EY T S
DECONSTRUCTED	D IY K AH N S T R AH K T IH D
DECONTAMINATE	D IY K AH N T AE M AH N EY T
DECONTAMINATED	D IY K AH N T AE M AH N EY T IH D
DECONTAMINATES	D IY K AH N T AE M AH N AH T S
DECORATE	D EH K ER EY T
DECORATED	D EH K ER EY T AH D
DECORATED(2)	D EH K ER EY T IH D
DECORATES	D EH K AH R EY T S
DECORTICATE	D IY K AO R T AH K EY T
DECORTICATED	D IY K AO R T AH K EY T IH D
DECORTICATES	D IY K AO R T AH K EY T S
DECREMENTED	D EH K R AH M AH N T IH D
DECREPITATE	D IH K R EH P AH T EY T
DECREPITATED	D IH K R EH P AH T EY T AH D
DECREPITATES	D IH K R EH P AH T EY T S
DECRYPTED	D IY K R IH P T IH D
DECUSSATE	D IH K AH S EY T
DECUSSATED	D IH K AH S EY T AH D
DECUSSATES	D IH K AH S EY T S
DEDICATE	D EH D AH K EY T
DEDICATED	D EH D AH K EY T AH D
DEDICATEDLY	D EH D IH K AH T AH D L IY
DEDICATEE	D EH D IH K AH T IY
DEDICATEES	D EH D IH K AH T IY Z
UMLAUT	AH M L AH T
ITS	IH T S
FUB	F AH B
MRIDANGA	M R AH D AE N G AH
EERIE	IH R IY
SOMITAL	S AA M AH T AH L
VAIL	V EY L
