DE	D IY
DEOXYGENATED	D IY AA K S IH JH AH N EY T IH D
DEOXYGENATES	D IY AA K S IH JH AH N AH T S
DEOXYGENATING	D IY AA K S IH JH AH N EY T IH NG
DEOXYGENATION	D IY AA K S IH JH AH N EY SH AH N
DEOXYGENATIONS	D IY AA K S IH JH AH N EY SH AH N Z
DEOXYRIBONUCLEASE	D IY AH K S AH R AH B AA N AH K L IY Z
DEOXYRIBONUCLEASES	D IY AH K S AH R AH B AA N AH K L IY Z AH Z
DEOXYRIBONUCLEOTIDE	D IY AH K S AH R AH B AH N AH K L IY AH T AY D
DEOXYRIBONUCLEOTIDES	D IY AH K S AH R AH B AH N AH K L IY AH T AY D Z
DEOXYRIBOSE	D IY AA K S IH R AH B OW Z
DEOXYRIBOSES	D IY AA K S IY R IH B AA S IH Z
DEPAINT	D IY P EY N T
DEPAINTED	D IY P EY N T IH D
DEPAINTING	D IY P EY N T IH NG
DEPAINTS	D IY P EY N T S
DEPART	D IH P AA R T
DEPARTED	D IH P AA R T IH D
DEPARTEE	D IY P AA R T IY
DEPARTEES	D IY P AA R T IY Z
DEPARTING	D IH P AA R T IH NG
DEPARTMENT	D IH P AA R T M AH N T
DEPARTMENTAL	D IH P AA R T M EH N AH L
DEPARTMENTAL(2)	D IH P AA R T M EH N T AH L
DEPARTMENTALIZATION	D IH P AA R T M EH N T AH L AH Z EY SH AH N
DEPARTMENTALIZATIONS	D IH P AA R T M EH N T AH L AH Z EY SH AH N Z
DEPARTMENTALIZE	D IH P AA R T M EH N T AH L AY Z
DEPARTMENTALIZE(2)	D IH P AA R T M EH N AH L AY Z
DEPARTMENTALIZED	D IH P AA R T M EH N T AH L AY Z D
DEPARTMENTALIZED(2)	D IH P AA R T M EH N AH L AY Z D
DEPARTMENTALIZES	D IH P AA R T M EH N T AH L AY Z IH Z
DEPARTMENTALIZING	D IH P AA R T M EH N T AH L AY Z IH NG
DEPARTMENTALLY	D IH P AA R T M EH N T AH L IY
DEPARTMENTS	D IH P AA R T M AH N T S
DEPARTS	D IH P AA R T S
DEPARTURE	D IH P AA R CH ER
DEPARTURES	D IH P AA R CH ER Z
DEPAUPERATE	D IY P AO P ER AH T
DEPEND	D IH P EH N D
DEPENDABILITIES	D IH P EH N D AH B IH L AH T EH Z
DEPENDABILITY	D IH P EH N D AH B IH L IH T IY
DEPENDABLE	D IH P EH N D AH B AH L
DEPENDABLENESS	D IH P EH N D AH B AH L N AH S
DEPENDABLENESSES	D IH P EH N D AH B AH L N AH S IH Z
DEPENDABLY	D IY P EH N D AE B L IY
DEPENDANCE	D IY P EH N D AE N S
DEPENDANCES	D IY P EH N D AE N S IH Z
DEPENDANT	D IY P EH N D AH N T
DEPENDANTS	D IY P EH N D AH N T S
DEPENDED	D IH P EH N D AH D
DEPENDED(2)	D IH P EH N D IH D
DEPENDENCE	D IH P EH N D AH N S
DEPENDENCES	D IH P EH N D AH N S IH Z
DEPENDENCIES	D IH P EH N D AH N S IY Z
DEPENDENCY	D IH P EH N D AH N S IY
DEPENDENT	D IH P EH N D AH N T
DEPENDENTLY	D IY P EH N D EH N T L IY
DEPENDENTS	D IH P EH N D AH N T S
DEPENDING	D IH P EH N D IH NG
DEPENDS	D IH P EH N D Z
DEPERM	D AH P AH R M
DEPERMED	D AH P AH R M D
DEPERMING	D AH P AH R M AH NG
DEPERMS	D AH P AH R M Z
DEPERSONALIZATION	D IY P ER S AH N AH L AH Z EY SH AH N
DEPERSONALIZATIONS	D IY P ER S AH N AH L AH Z EY SH AH N Z
DEPERSONALIZE	D IY P ER S AH N AH L AY Z
DEPERSONALIZE(2)	D IY P ER S N AH L AY Z
DEPERSONALIZED	D IY P ER S AH N AH L AY Z D
DEPERSONALIZES	D IY P ER S AH N AH L AY Z IH Z
DEPERSONALIZING	D IY P ER S AH N AH L AY Z IH NG
DEPHOSPHORYLATE	D IY F AA S F ER IY L EY T
DEPHOSPHORYLATED	D IY F AA S F ER IY L EY T IH D
DEPHOSPHORYLATES	D IY F AA S F ER IY L EY T S
DEPHOSPHORYLATING	D IY F AA S F ER IY L EY T IH NG
DEPHOSPHORYLATION	D IY F AA S F ER IY L EY SH AH N
DEPHOSPHORYLATIONS	D IY F AA S F ER IY L EY SH AH N Z
DEPICT	D IH P IH K T
DEPICTED	D IH P IH K T AH D
DEPICTED(2)	D IH P IH K T IH D
DEPICTER	D IH P IH K T ER
DEPICTERS	D IH P IH K T ER Z
DEPICTING	D IH P IH K T IH NG
DEPICTION	D IH P IH K SH AH N
DEPICTIONS	D IH P IH K SH AH N Z
DEPICTOR	D IH P IH K T ER
DEPICTORS	D IH P IH K T ER Z
DEPICTS	D IH P IH K T S
DEPICTS(2)	D IH P IH K S
DEPIGMENTATION	D IY P IH G M AH N T EY SH AH N
DEPIGMENTATIONS	D IY P IH G M AH N T EY SH AH N Z
DEPILATE	D IY P AY L AH T
DEPILATED	D IY P AY L EY T IH D
DEPILATES	D IY P AY L AH T S
DEPILATING	D IY P AY L EY T IH NG
DEPILATION	D IY P AY L EY SH AH N
DEPILATIONS	D IY P AY L EY SH AH N Z
DEPILATORIES	D IY P AY L AH T OW R IY Z
DEPILATORY	D IH P IH L AH T AO R IY
DEPLANE	D IY P L EY N
DEPLANED	D IY P L EY N D
DEPLANES	D IY P L EY N Z
DEPLANING	D IY P L EY N IH NG
DEPLETABLE	D IH P L IY T AH B AH L
DEPLETE	D IH P L IY T
DEPLETED	D IH P L IY T IH D
DEPLETES	D IH P L IY T S
DEPLETING	D IH P L IY T IH NG
DEPLETION	D IH P L IY SH AH N
DEPLETIONS	D IH P L IY SH AH N Z
DEPLETIVE	D IH P L IY T IH V
DEPLORABLE	D IH P L AO R AH B AH L
DEPLORABLENESS	D IH P L OW R AH B AH L N AH S
DEPLORABLENESSES	D IH P L OW R AH B AH L N AH S IH Z
DEPLORABLY	D IH P L OW R AH B L IY
DEPLORE	D IH P L AO R
DEPLORED	D IH P L AO R D
DEPLORER	D IH P L OW R ER
DEPLORERS	D IH P L OW R ER Z
DEPLORES	D IH P L AO R Z
DEPLORING	D IH P L AO R IH NG
DEPLORINGLY	D IH P L OW R IH NG L IY
DEPLOY	D IH P L OY
DEPLOYABLE	D IH P L OY AH B AH L
DEPLOYED	D IH P L OY D
DEPLOYING	D IH P L OY IH NG
DEPLOYMENT	D IH P L OY M AH N T
DEPLOYMENTS	D IH P L OY M AH N T S
DEPLOYS	D IH P L OY Z
DEPLUME	D IY P L UW M
DEPLUMED	D IY P L UW M D
DEPLUMES	D IY P L UW M Z
DEPLUMING	D IY P L UW M IH NG
DEPOLARIZATION	D IY P OW L ER AH Z EY SH AH N
DEPOLARIZATIONS	D IY P OW L ER AH Z EY SH AH N Z
DEPOLARIZE	D IY P OW L ER AY Z
DEPOLARIZED	D IY P OW L ER AY Z D
DEPOLARIZER	D IY P OW L ER AY Z ER
DEPOLARIZERS	D IY P OW L ER AY Z ER Z
DEPOLARIZES	D IY P OW L ER AY Z IH Z
DEPOLARIZING	D IY P OW L ER AY Z IH NG
DEPOLISH	D IY P AA L IH SH
DEPOLISHED	D IY P AA L IH SH T
DEPOLISHES	D IY P AA L IH SH IH Z
DEPOLISHING	D IY P AA L IH SH IH NG
DEPOLITICIZATION	D IY P AA L AH T IH K AH Z EY SH AH N
DEPOLITICIZATIONS	D IY P AA L AH T IH K AH Z EY SH AH N Z
DEPOLITICIZE	D IY P AA L AH T IH K AY Z
DEPOLITICIZED	D IY P AA L AH T IH K AY Z D
DEPOLITICIZES	D IY P AA L AH T IH K AY Z IH Z
DEPOLITICIZING	D IY P AA L AH T IH K AY Z IH NG
DEPOLYMERIZATION	D IY P AA L AH M ER AH Z EY SH AH N
DEPOLYMERIZATIONS	D IY P AA L AH M ER AH Z EY SH AH N Z
DEPOLYMERIZE	D IY P AA L AH M ER AY Z
DEPOLYMERIZED	D IY P AA L AH M ER AY Z D
DEPOLYMERIZES	D IY P AA L AH M ER AY Z IH Z
DEPOLYMERIZING	D IY P AA L AH M ER AY Z IH NG
DEPONE	D AH P OW N
DEPONED	D AH P OW N D
DEPONENT	D AH P OW N AH N T
DEPONENTS	D AH P AA N AH N T S
DEPONES	D AH P OW N Z
DEPONING	D AH P OW N AH NG
DEPOPULATE	D IY P AA P Y AH L EY T
DEPOPULATED	D IY P AA P Y AH L EY T IH D
DEPOPULATES	D IY P AA P Y AH L AH T S
DEPOPULATING	D IY P AA P Y AH L EY T IH NG
DEPOPULATION	D IH P AA P Y AH L EY SH AH N
DEPOPULATION(2)	D IY P AA P Y AH L EY SH AH N
DEPOPULATIONS	D IY P AA P Y AH L EY SH AH N Z
DEPORT	D IH P AO R T
DEPORTABLE	D IY P OW R T AH B AH L
DEPORTATION	D IY P AO R T EY SH AH N
DEPORTATIONS	D IY P AO R T EY SH AH N Z
DEPORTED	D IH P AO R T AH D
DEPORTEE	D IY P AO R T IY
DEPORTEES	D IY P AO R T IY Z
DEPORTING	D IH P AO R T IH NG
DEPORTMENT	D AH P AO R T M AH N T
DEPORTMENTS	D IY P OW R T M AH N T S
DEPORTS	D IY P OW R T S
DEPOSAL	D IY P OW Z AH L
DEPOSALS	D IY P OW Z AH L Z
DEPOSE	D IH P OW Z
DEPOSED	D IH P OW Z D
DEPOSER	D IY P OW Z ER
DEPOSERS	D IY P OW Z ER Z
DEPOSES	D IY P OW Z IH Z
DEPOSING	D IY P OW Z IH NG
DEPOSIT	D AH P AA Z IH T
DEPOSIT(2)	D IH P AA Z AH T
DEPOSITARIES	D AH P AA Z IH T EH R IY Z
DEPOSITARY	D AH P AA Z IH T EH R IY
DEPOSITARY(2)	D IH P AA Z IH T EH R IY
DEPOSITED	D AH P AA Z IH T IH D
DEPOSITED(2)	D IH P AA Z AH T AH D
DEPOSITING	D AH P AA Z IH T IH NG
DEPOSITION	D EH P AH Z IH SH AH N
DEPOSITIONAL	D EH P AH Z IH SH AH N AH L
DEPOSITIONS	D EH P AH Z IH SH AH N Z
DEPOSITOR	D AH P AA Z IH T ER
DEPOSITORIES	D AH P AA Z IH T ER IY Z
DEPOSITORS	D AH P AA Z IH T ER Z
DEPOSITORY	D IH P AA Z AH T AO R IY
DEPOSITS	D AH P AA Z IH T S
DEPOSITS(2)	D IH P AA Z AH T S
DEPOT	D IY P OW
DEPOTS	D IY P OW Z
DEPRAVATION	D EH P R AH V EY SH AH N
DEPRAVATIONS	D IH P R EY V EY SH AH N Z
DEPRAVE	D IY P R EY V
DEPRAVED	D IY P R EY V D
DEPRAVEDLY	D IH P R EY V AH D L IY
DEPRAVEDNESS	D IH P R EY V AH D N AH S
DEPRAVEDNESSES	D IH P R EY V AH D N AH S IH Z
DEPRAVEMENT	D IH P R EY V M AH N T
DEPRAVEMENTS	D IH P R EY V M AH N T S
DEPRAVER	D IH P R EY V ER
DEPRAVERS	D IH P R EY V ER Z
DEPRAVES	D IH P R EY V Z
DEPRAVING	D IH P R EY V IH NG
DEPRAVITIES	D IH P R AE V AH T IY Z
DEPRAVITY	D IH P R AE V AH T IY
DEPRECATE	D EH P R AH K EY T
DEPRECATED	D EH P R AH K EY T AH D
DEPRECATES	D EH P R AH K EY T S
DEPRECATING	D EH P R AH K EY T IH NG
DEPRECATINGLY	D IY P R IY K EY T IH NG L IY
DEPRECATION	D IY P R IY K EY SH AH N
DEPRECATIONS	D IY P R IY K EY SH AH N Z
DEPRECATORILY	D EH P R IH K AH T OW R IY L IY
DEPRECATORY	D EH P R IH K AH T OW R IY
DEPRECIABLE	D IH P R IH SH AH B AH L
DEPRECIATE	D IH P R IY SH IY EY T
DEPRECIATED	D IH P R IY SH IY EY T IH D
DEPRECIATES	D IH P R IY SH IY EY T S
DEPRECIATING	D IH P R IY SH IY EY T IH NG
DEPRECIATINGLY	D IH P R IY SH IY EY T IH NG L IY
DEPRECIATION	D IH P R IY SH IY EY SH AH N
DEPRECIATIONS	D IH P R IY SH IY EY SH AH N Z
DEPRECIATIVE	D IH P R IY SH IY EY T IH V
DEPRECIATOR	D IH P R IY SH IY EY T ER
DEPRECIATORS	D IH P R IY SH IY EY T ER Z
DEPRECIATORY	D IH P R IY SH IY EY T ER IY
DEPREDATE	D EH P R AH D EY T
DEPREDATED	D EH P R AH D EY T IH D
DEPREDATES	D EH P R AH D EY T S
DEPREDATING	D EH P R AH D EY T IH NG
DEPREDATION	D EH P R AH D EY SH AH N
DEPREDATIONS	D EH P R AH D EY SH AH N Z
DEPREDATOR	D EH P R AH D EY T ER
DEPREDATORS	D EH P R AH D EY T ER Z
DEPREDATORY	D EH P R AH D EY T ER IY
DEPRESS	D IH P R EH S
DEPRESSANT	D IH P R EH S AH N T
DEPRESSANTS	D IH P R EH S AH N T S
DEPRESSED	D IH P R EH S T
DEPRESSES	D IH P R EH S AH Z
DEPRESSES(2)	D IH P R EH S IH Z
DEPRESSIBLE	D IY P R EH S AH B AH L
DEPRESSING	D IH P R EH S IH NG
DEPRESSINGLY	D IH P R EH S IH NG L IY
DEPRESSION	D IH P R EH SH AH N
DEPRESSIONS	D IH P R EH SH AH N Z
DEPRESSIVE	D IH P R EH S IH V
DEPRESSIVELY	D IY P R EH S IH V L IY
DEPRESSIVES	D IY P R EH S IH V Z
DEPRESSOR	D IY P R EH S ER
CEANOTHUS	S IY N AH TH AH S
BDELLIUM	B D EH L IY AH M
KOHL	K OW L
IF	IH F
OINK	OY NG K
PINOT	P IH N AH T
TMESES	T M IY Z AH Z
