TIO	T AY OW
HYPERINVOLUTIONS	HH AY P ER IH N V AH L UW SH AH N Z
HYPERNATIONALISTIC	HH AY P ER N AE SH AH N AH L IH S T IH K
HYPERPIGMENTATION	HH AY P ER P IH G M AH N T EY SH AH N
HYPERPIGMENTATIONS	HH AY P ER P IH G M AH N T EY SH AH N Z
HYPERPOLARIZATION	HH AY P ER P OW L ER AH Z EY SH AH N
HYPERPOLARIZATIONS	HH AY P ER P OW L ER AH Z EY SH AH N Z
HYPERPRODUCTION	HH AY P ER P R AA D AH K SH AH N
HYPERPRODUCTIONS	HH AY P ER P R AA D AH K SH AH N Z
HYPERRATIONAL	HH AY P ER R AE SH AH N AH L
HYPERRATIONALITIES	HH AY P ER R AE SH AH N AE L AH T IY Z
HYPERRATIONALITY	HH AY P ER R AE SH AH N AE L AH T IY
HYPERSALIVATION	HH AY P ER S AE L AH V EY SH AH N
HYPERSALIVATIONS	HH AY P ER S AE L AH V EY SH AH N Z
HYPERSECRETION	HH AY P ER S IH K R IY SH AH N
HYPERSECRETIONS	HH AY P ER S IH K R IY SH AH N Z
HYPERSENSITIZATION	HH AY P ER S EH N S AH T AH Z EY SH AH N
HYPERSENSITIZATIONS	HH AY P ER S EH N S AH T AH Z EY SH AH N Z
HYPERSTIMULATION	HH AY P ER S T IH M Y AH L EY SH AH N
HYPERSTIMULATIONS	HH AY P ER S T IH M Y AH L EY SH AH N Z
HYPERVENTILATION	HH AY P ER V EH N T AH L EY SH AH N
HYPERVENTILATIONS	HH AY P ER V EH N T AH L EY SH AH N Z
HYPHENATION	HH AY F AH N EY SH AH N
HYPHENATIONS	HH AY F AH N EY SH AH N Z
HYPOSENSITIZATION	HH IH P AH S EH N S AH T AH Z EY SH AH N
HYPOSENSITIZATIONS	HH AH P AH S EH N S AH T AH Z EY T IY AH N Z
HYPOSTATIZATION	HH AY P AA S T AH T AH Z EY SH AH N
HYPOSTATIZATIONS	HH AY P AA S T AH T AH Z EY SH AH N Z
HYPOTHECATION	HH AH P AA TH AH K EY SH AH N
HYPOTHECATIONS	HH IH P AH TH AH K EY T IY AH N Z
IDEALIZATION	AY D IY L AH Z EY SH AH N
IDEALIZATIONS	AY D IY L AH Z EY SH AH N Z
IDEATION	AY D IY EY SH AH N
IDEATIONAL	AY D IY EY SH AH N AH L
IDEATIONALLY	AY D IY EY SH AH N AH L IY
IDEATIONS	AY D IY EY SH AH N Z
IDENTIFICATION	AY D EH N T AH F AH K EY SH AH N
IDENTIFICATIONS	AY D EH N T AH F AH K EY SH AH N Z
IDOLIZATION	AY D AH L AH Z EY SH AH N
IDOLIZATIONS	AY D AH L AH Z EY SH AH N Z
IGNITION	IH G N IH SH AH N
IGNITIONS	IH G N IH SH AH N Z
ILLATION	IH L EY SH AH N
ILLATIONS	IH L EY SH AH N Z
ILLEGALIZATION	IH L IY G AH L AH Z EY SH AH N
ILLEGALIZATIONS	IH L IY G AH L AH Z EY SH AH N Z
ILLOCUTIONARY	IH L OW K Y UW SH AH N EH R IY
ILLUMINATION	IH L UW M AH N EY SH AH N
ILLUMINATIONS	IH L UW M AH N EY SH AH N Z
ILLUSTRATION	IH L AH S T R EY SH AH N
ILLUSTRATIONAL	IH L AH S T R EY SH AH N AH L
ILLUSTRATIONS	IH L AH S T R EY SH AH N Z
ILLUVIATION	IH L UW V AY EY SH AH N
ILLUVIATIONS	IH L UW V IY EY T IY AH N Z
IMAGINATION	IH M AE JH AH N EY SH AH N
IMAGINATIONS	IH M AE JH AH N EY SH AH N Z
IMBIBITION	IH M B AY B AY SH AH N
IMBIBITIONAL	IH M B AY B AY SH AH N AH L
IMBIBITIONS	IH M B AY B AY SH AH N Z
IMBRICATION	IH M B R AH S EY SH AH N
IMBRICATIONS	IH M B R AH K EY T IY AH N Z
IMITATION	IH M AH T EY SH AH N
IMITATIONS	IH M IH T EY SH AH N Z
IMMIGRATION	IH M AH G R EY SH AH N
IMMIGRATIONAL	IH M AH G R EY SH AH N AH L
IMMIGRATIONS	IH M AH G R EY SH AH N Z
IMMOBILIZATION	IH M OW B AH L AH Z EY SH AH N
IMMOBILIZATIONS	IH M OW B AH L AH Z EY SH AH N Z
IMMODERATION	IH M AA D AH R AH SH AH N
IMMODERATIONS	IH M AA D AH R AH SH AH N Z
IMMOLATION	IH M AH L EY SH AH N
IMMOLATIONS	IH M OW L EY SH AH N Z
IMMORTALIZATION	IH M AO R T AH L AH Z EY SH AH N
IMMORTALIZATIONS	IH M AO R T AH L AH Z EY SH AH N Z
IMMUNIZATION	IH M Y UW N AH Z EY SH AH N
IMMUNIZATIONS	IH M Y UW N AH Z EY SH AH N Z
IMMUNOPRECIPITATION	IH M Y UW N AH P R AH S IH P AH T EY SH AH N
IMMUNOPRECIPITATIONS	IH M Y UW N AH P R EH S AH P AH T EY T IY AH N Z
IMMUNOREGULATION	IH M Y UW N AH R EH G Y AH L EY SH AH N
IMMUNOREGULATIONS	IH M Y UW N AH R EH G Y AH L EY T IY AH N Z
IMPACTION	IH M P AE K SH AH N
IMPACTIONS	IH M P AE K SH AH N Z
IMPARTATION	IH M P AA R T EY SH AH N
IMPARTATIONS	IH M P AA R T EY SH AH N Z
IMPERFECTION	IH M P ER F EH K SH AH N
IMPERFECTIONS	IH M P ER F EH K SH AH N Z
IMPERSONALIZATION	IH M P ER S AH N AH L AH Z EY SH AH N
IMPERSONALIZATIONS	IH M P ER S AH N AH L AH Z EY SH AH N Z
IMPERSONATION	IH M P ER S AH N EY SH AH N
IMPERSONATIONS	IH M P ER S AH N EY SH AH N Z
IMPETRATION	IH M P EH T R EY SH AH N
IMPETRATIONS	IH M P EH T R EY SH AH N Z
IMPLANTATION	IH M P L AE N T EY SH AH N
IMPLANTATIONS	IH M P L AE N T EY SH AH N Z
IMPLEMENTATION	IH M P L AH M EH N T EY SH AH N
IMPLEMENTATIONS	IH M P L AH M AH N T EY SH AH N Z
IMPLICATION	IH M P L AH K EY SH AH N
IMPLICATIONS	IH M P L AH K EY SH AH N Z
IMPORTATION	IH M P AO R T EY SH AH N
IMPORTATIONS	IH M P OW R T EY SH AH N Z
IMPOSITION	IH M P AH Z IH SH AH N
IMPOSITIONS	IH M P AH Z IH SH AH N Z
IMPRECATION	IH M P R IH K EY SH AH N
IMPRECATIONS	IH M P R IH K EY SH AH N Z
IMPREGNATION	IH M P R EH G N EY SH AH N
IMPREGNATIONS	IH M P R EH G N EY SH AH N Z
IMPROVISATION	IH M P R AA V IH Z EY SH AH N
IMPROVISATIONAL	IH M P R AA V IH Z EY SH AH N AH L
IMPROVISATIONALLY	IH M P R AA V AH Z EY SH AH N AH L IY
IMPROVISATIONS	IH M P R AA V IH Z EY SH AH N Z
IMPUTATION	IH M P Y AH T EY SH AH N
IMPUTATIONS	IH M P Y AH T EY SH AH N Z
INACTION	IH N AE K SH AH N
INACTIONS	IH N AE K SH AH N Z
INACTIVATION	IH N AE K T IH V EY SH AH N
INACTIVATIONS	IH N AE K T IH V EY SH AH N Z
INANITION	AH N AH N IH SH AH N
INANITIONS	AH N AH N IH T IY AH N Z
INATTENTION	IH N AH T EH N CH AH N
INATTENTIONS	IH N AH T EH N CH AH N Z
INAUGURATION	IH N AO G Y AH R EY SH AH N
INAUGURATIONS	IH N AO G Y AH R EY SH AH N Z
INCANTATION	IH N K AE N T EY SH AH N
INCANTATIONAL	IH N K AE N T EY SH AH N AH L
INCANTATIONS	IH N K AE N T EY SH AH N Z
INCAPACITATION	IH N K AH P AE S IH T EY SH AH N
INCAPACITATIONS	IH N K AH P AE S AH T EY SH AH N Z
INCARCERATION	IH N K AA R S ER EY SH AH N
INCARCERATIONS	IH N K AA R S AH R EY SH AH N Z
INCARDINATION	IH N K AA R D AY N EY SH AH N
INCARDINATIONS	IH N K AA R D AY N EY SH AH N Z
INCARNATION	IH N K AA R N EY SH AH N
INCARNATIONS	IH N K AA R N EY SH AH N Z
INCAUTION	IH N K AO SH AH N
INCAUTIONS	IH N K AO SH AH N Z
INCAUTIOUS	IH N K AO SH AH S
INCAUTIOUSLY	IH N K AO SH AH S L IY
INCAUTIOUSNESS	IH N K AO SH AH S N AH S
INCAUTIOUSNESSES	IH N K AO SH AH S N AH S IH Z
INCEPTION	IH N S EH P SH AH N
INCEPTIONS	IH N S EH P SH AH N Z
INCINERATION	IH N S IH N ER EY SH AH N
INCINERATIONS	IH N S IH N AH R EY SH AH N Z
INCITATION	IH N S AY T EY SH AH N
INCITATIONS	IH N S AY T EY SH AH N Z
INCLINATION	IH N K L AH N EY SH AH N
INCLINATIONAL	IH N K L AH N EY SH AH N AH L
INCLINATIONS	IH N K L AH N EY SH AH N Z
INCONSIDERATION	IH N K AH N S IH D ER EY SH AH N
INCONSIDERATIONS	IH N K AH N S IH D ER EY SH AH N Z
INCOORDINATION	IH N K OW AO R D AH N EY SH AH N
INCOORDINATIONS	IH N K OW AO R D AH N EY SH AH N Z
INCORPORATION	IH N K AO R P ER EY SH AH N
INCORPORATIONS	IH N K AO R P ER EY SH AH N Z
INCORRUPTION	IH N K AH R AH P SH AH N
INCORRUPTIONS	IH N K AH R AH P SH AH N Z
INCRIMINATION	IH N K R IH M AH N EY SH AH N
INCRIMINATIONS	IH N K R IH M AH N EY SH AH N Z
INCRUSTATION	IH N K R AH S T EY SH AH N
INCRUSTATIONS	IH N K R AH S T EY SH AH N Z
INCUBATION	IH NG K Y UW B EY SH AH N
INCUBATIONS	IH NG K Y UW B EY SH AH N Z
INCULCATION	IH N K AH L K EY SH AH N
INCULCATIONS	IH N K AH L K EY SH AH N Z
INCULPATION	IH N K AH L P EY SH AH N
INCULPATIONS	IH N K AH L P EY T IY AH N Z
INCURVATION	IH N K ER V EY SH AH N
INCURVATIONS	IH N K ER V EY SH AH N Z
INDAGATION	IH N D AE G EY SH AH N
INDAGATIONS	IH N D AE G EY SH AH N Z
INDEMNIFICATION	IH N D EH M N AH F IH K EY SH AH N
INDEMNIFICATIONS	IH N D AH M N IH F AH K EY T IY AH N Z
INDENTATION	IH N D EH N T EY SH AH N
INDENTATIONS	IH N D EH N T EY SH AH N Z
INDENTION	IH N D EH N CH AH N
INDENTIONS	IH N D EH N CH AH N Z
INDETERMINATION	IH N D IY T ER M AH N EY SH AH N
INDETERMINATIONS	IH N D IY T ER M AH N EY SH AH N Z
INDEXATION	IH N D EH K S EY SH AH N
INDEXATIONS	IH N D EH K S EY SH AH N Z
INDICATION	IH N D AH K EY SH AH N
INDICATIONAL	IH N D AH K EY SH AH N AH L
INDICATIONS	IH N D AH K EY SH AH N Z
INDICTION	IH N D IH K SH AH N
INDICTIONS	IH N D IH K SH AH N Z
INDIGENIZATION	IH N D AH JH IY N AH Z EY SH AH N
INDIGENIZATIONS	IH N D AH JH IY N AH Z EY SH AH N Z
INDIGESTION	IH N D AY JH EH S CH AH N
INDIGESTIONS	IH N D IH JH AH S SH AH N Z
INDIGNATION	IH N D IH G N EY SH AH N
INDIGNATIONS	IH N D IH G N EY SH AH N Z
INDIRECTION	IH N D AH R EH K SH AH N
INDIRECTIONS	IH N D AH R EH K SH AH N Z
INDISCRETION	IH N D IH S K R EH SH AH N
INDISCRETIONS	IH N D IH S K R EH SH AH N Z
INDISCRIMINATION	IH N D IH S K R IH M AH N EY SH AH N
INDISCRIMINATIONS	IH N D IH S K R IH M AH N EY SH AH N Z
INDISPOSITION	IH N D IH S P AH Z IH SH AH N
INDISPOSITIONS	IH N D IH S P AH Z IH SH AH N Z
INDIVIDUALIZATION	IH N D AH V IH JH AH W AH L AH Z EY SH AH N
INDIVIDUALIZATIONS	IH N D AH V IH JH AH W AH L AH Z EY SH AH N Z
INDIVIDUATION	IH N D AH V IH JH AH W EY SH AH N
INDIVIDUATIONS	IH N D AH V IH JH AH W EY SH AH N Z
INDOCTRINATION	IH N D AA K T R AH N EY SH AH N
INDOCTRINATIONS	IH N D AA K T R AH N EY SH AH N Z
INDUCTION	IH N D AH K SH AH N
INDUCTIONS	IH N D AH K SH AH N Z
INDURATION	IH N D UH R EY SH AH N
INDURATIONS	IH N D UH R EY SH AH N Z
INDUSTRIALIZATION	IH N D AH S T R IY AH L IH Z EY SH AH N
INDUSTRIALIZATIONS	IH N D AH S T R IY AH L AH Z EY SH AH N Z
INEBRIATION	AH N EH B R AY EY SH AH N
INEBRIATIONS	AH N EH B R IY EY T IY AH N Z
INFANTILIZATION	IH N F AH N T AY L AH Z EY SH AH N
INFANTILIZATIONS	IH N F AH N T AY L AH Z EY SH AH N Z
INFARCTION	IH N F AA R K SH AH N
INFARCTIONS	IH N F AA R K SH AH N Z
INFATUATION	IH N F AE CH UW EY SH AH N
INFATUATIONS	IH N F AE CH AH W EY SH AH N Z
INFECTION	IH N F EH K SH AH N
INFECTIONS	IH N F EH K SH AH N Z
INFECTIOUS	IH N F EH K SH AH S
INFECTIOUSLY	IH N F EH K SH AH S L IY
INFECTIOUSNESS	IH N F EH K SH AH S N AH S
INFECTIOUSNESSES	IH N F EH K SH AH S N AH S IH Z
INFESTATION	IH N F EH S T EY SH AH N
INFESTATIONS	IH N F EH S T EY SH AH N Z
INFIBULATION	IH N F IH B Y AH L EY SH AH N
INFIBULATIONS	IH N F IH B Y AH L EY T IY AH N Z
INFILTRATION	IH N F IH L T R EY SH AH N
INFILTRATIONS	IH N F IH L T R EY SH AH N Z
INFIXATION	IH N F IH K S EY SH AH N
INFIXATIONS	IH N F IH K S EY SH AH N Z
INFLAMMATION	IH N F L AH M EY SH AH N
INFLAMMATIONS	IH N F L AH M EY SH AH N Z
INFLATION	IH N F L EY SH AH N
INFLATIONARY	IH N F L EY SH AH N EH R IY
INFLATIONISM	IH N F L EY SH AH N IH Z AH M
INFLATIONISMS	IH N F L EY SH AH N IH Z AH M Z
INFLATIONIST	IH N F L EY SH AH N IH S T
INFLATIONISTS	IH N F L EY SH AH N IH S T S
INFLATIONS	IH N F L EY SH AH N Z
INFLECTION	IH N F L EH K SH AH N
INFLECTIONAL	IH N F L EH K SH AH N AH L
INFLECTIONALLY	IH N F L EH K SH AH N AH L IY
INFLECTIONS	IH N F L EH K SH AH N Z
INFLICTION	IH N F L IH K SH AH N
INFLICTIONS	IH N F L IH K SH AH N Z
INFORMATION	IH N F AO R M EY SH AH N
INFORMATIONAL	IH N F AO R M EY SH AH N AH L
INFORMATIONALLY	IH N F ER M EY SH AH N AH L IY
INFORMATIONS	IH N F AO R M EY SH AH N Z
INFRACTION	IH N F R AE K SH AH N
INFRACTIONS	IH N F R AE K SH AH N Z
INFURIATION	IH N F Y UH R IY EY SH AH N
INFURIATIONS	IH N F Y UH R IY EY SH AH N Z
INGESTION	IH N JH EH S CH AH N
INGESTIONS	IH N JH EH S SH AH N Z
INGRATIATION	IH N G R EY SH IY EY SH AH N
INGRATIATIONS	IH N G R EY SH IY EY SH AH N Z
INGURGITATION	IH N G AH R JH AH T EY SH AH N
INGURGITATIONS	IH N G AH R JH AH T EY T IY AH N Z
INHABITATION	IH N HH AE B IH T EY SH AH N
INHABITATIONS	IH N HH AE B AH T EY SH AH N Z
INHALATION	IH N HH AH L EY SH AH N
INHALATIONAL	IH N HH AH L EY SH AH N AH L
INHALATIONS	IH N HH AH L EY SH AH N Z
INHIBITION	IH N HH AH B IH SH AH N
INHIBITION(2)	IH N AH B IH SH AH N
INHIBITIONS	IH N HH AH B IH SH AH N Z
INHIBITIONS(2)	IH N AH B IH SH AH N Z
INHUMATION	IH N HH AH M EY SH AH N
INHUMATIONS	IH N HH AH M EY SH AH N Z
INITIALIZATION	IH N IH SH AH L AH Z EY SH AH N
INITIALIZATIONS	IH N IH SH AH L AH Z EY SH AH N Z
INITIATION	IH N IH SH IY EY SH AH N
INITIATIONS	IH N IH SH IY EY SH AH N Z
INJECTION	IH N JH EH K SH AH N
INJECTIONS	IH N JH EH K SH AH N Z
INJUNCTION	IH N JH AH NG K SH AH N
INJUNCTION(2)	IH N JH AH NG SH AH N
INJUNCTIONS	IH N JH AH NG K SH AH N Z
INJUNCTIONS(2)	IH N JH AH NG SH AH N Z
INNERVATION	IH N ER V EY SH AH N
INNERVATIONS	IH N ER V EY SH AH N Z
INNOVATION	IH N AH V EY SH AH N
INNOVATION(2)	IH N OW V EY SH AH N
INNOVATIONAL	IH N AH V EY SH AH N AH L
INNOVATIONS	IH N AH V EY SH AH N Z
INNOVATIONS(2)	IH N OW V EY SH AH N Z
INOCULATION	IH N AA K Y AH L EY SH AH N
INOCULATIONS	IH N AA K Y AH L EY SH AH N Z
INOSCULATION	AH N AA S Y AH L EY SH AH N
INOSCULATIONS	AH N AA S Y AH L EY T IY AH N Z
INQUISITION	IH N K W AH Z IH SH AH N
INQUISITIONAL	IH N K W AH Z IH SH AH N AH L
INQUISITIONS	IH N K W AH Z IH SH AH N Z
INSANITATION	IH N S AE N AH T EY SH AH N
INSANITATIONS	IH N S AE N AH T EY SH AH N Z
INSCRIPTION	IH N S K R IH P SH AH N
INSCRIPTIONAL	IH N S K R IH P SH AH N AH L
INSCRIPTIONS	IH N S K R IH P SH AH N Z
INSEMINATION	IH N S EH M AH N EY SH AH N
INSEMINATIONS	IH N S EH M AH N EY SH AH N Z
INSERTION	IH N S ER SH AH N
INSERTIONAL	IH N S ER SH AH N AH L
INSERTIONS	IH N S ER SH AH N Z
INSINUATION	IH N S IH N Y UW EY SH AH N
INSINUATIONS	IH N S IH N Y UW EY SH AH N Z
INSOLATION	IH N S AH L EY SH AH N
INSOLATIONS	IH N S AH L EY SH AH N Z
INSOLUBILIZATION	IH N S AH L AH B AH L AH Z EY SH AH N
INSOLUBILIZATIONS	IH N S AH L UW B AH L AH Z EY T IY AH N Z
INSPECTION	IH N S P EH K SH AH N
INSPECTIONS	IH N S P EH K SH AH N Z
INSPIRATION	IH N S P ER EY SH AH N
INSPIRATIONAL	IH N S P ER EY SH AH N AH L
INSPIRATIONALLY	IH N S P AH R EY SH AH N AH L IY
INSPIRATIONS	IH N S P ER EY SH AH N Z
INSPISSATION	IH N S P AY Z EY SH AH N
INSPISSATIONS	IH N S P AY Z EY SH AH N Z
INSTALLATION	IH N S T AH L EY SH AH N
INSTALLATIONS	IH N S T AH L EY SH AH N Z
INSTANTIATION	IH N S T AE N SH IY EY SH AH N
INSTANTIATIONS	IH N S T AH N T IY EY SH AH N Z
INSTAURATION	IH N S T EY Y AH R EY SH AH N
INSTAURATIONS	IH N S T AH R EY T IY AH N Z
INSTIGATION	IH N S T IH G EY SH AH N
INSTIGATIONS	IH N S T AH G EY SH AH N Z
INSTILLATION	IH N S T IH L EY SH AH N
INSTILLATIONS	IH N S T IH L EY SH AH N Z
INSTITUTION	IH N S T IH T UW SH AH N
INSTITUTIONAL	IH N S T IH T UW SH AH N AH L
INSTITUTIONALISE	IH N S T AH T Y AH T IY AA N AH L AY Z
INSTITUTIONALISED	IH N S T AH T UW SH AH N AH L IY Z D
INSTITUTIONALISES	IH N S T AH T UW SH AH N AH L IY Z IH Z
INSTITUTIONALISING	IH N S T AH T UW SH AH N AH L IY Z IH NG
INSTITUTIONALISM	IH N S T AH T UW SH AH N AH L IH Z AH M
INSTITUTIONALISMS	IH N S T AH T UW SH AH N AH L IH Z AH M Z
INSTITUTIONALIST	IH N S T IH T UW SH AH N AH L IH S T
INSTITUTIONALISTS	IH N S T IH T UW SH AH N AH L IH S T S
INSTITUTIONALIZATION	IH N S T IH T UW SH AH N AH L IH Z EY SH AH N
INSTITUTIONALIZATIONS	IH N S T AH T UW SH AH N AH L AH Z EY SH AH N Z
INSTITUTIONALIZE	IH N S T IH T UW SH AH N AH L AY Z
INSTITUTIONALIZED	IH N S T IH T UW SH AH N AH L AY Z D
INSTITUTIONALIZES	IH N S T IH T UW SH AH N AH L AY Z IH Z
INSTITUTIONALIZING	IH N S T IH T UW SH AH N AH L AY Z IH NG
INSTITUTIONALLY	IH N S T IH T UW SH AH N AH L IY
INSTITUTIONS	IH N S T IH T UW SH AH N Z
INSTRUCTION	IH N S T R AH K SH AH N
INSTRUCTIONAL	IH N S T R AH K SH AH N AH L
INSTRUCTIONS	IH N S T R AH K SH AH N Z
INSTRUMENTATION	IH N S T R AH M EH N T EY SH AH N
INSTRUMENTATIONS	IH N S T R AH M AH N T EY SH AH N Z
INSUBORDINATION	IH N S AH B AO R D AH N EY SH AH N
INSUBORDINATIONS	IH N S AH B AO R D AH N EY SH AH N Z
INSUFFLATION	IH N S AH F L EY SH AH N
INSUFFLATIONS	IH N S AH F L EY T IY AH N Z
INSULATION	IH N S AH L EY SH AH N
INSULATIONS	IH N S AH L EY SH AH N Z
INSURRECTION	IH N S ER EH K SH AH N
INSURRECTIONAL	IH N S AH R EH K SH AH N AH L
INSURRECTIONARIES	IH N S AH R EH K SH AH N EH R IY Z
INSURRECTIONARY	IH N S AH R EH K SH AH N EH R IY
INSURRECTIONIST	IH N S AH R EH K SH AH N IH S T
INSURRECTIONISTS	IH N S AH R EH K SH AH N IH S T S
INSURRECTIONS	IH N S AH R EH K SH AH N Z
INTEGRATION	IH N T AH G R EY SH AH N
INTEGRATION(2)	IH N AH G R EY SH AH N
INTEGRATIONIST	IH N T AH G R EY SH AH N IH S T
INTEGRATIONISTS	IH N T AH G R EY SH AH N IH S T S
INTEGRATIONS	IH N T AH G R EY SH AH N Z
INTEGRATIONS(2)	IH N AH G R EY SH AH N Z
INTELLECTION	IH N T AH L EH K SH AH N
INTELLECTIONS	IH N T AH L EH K SH AH N Z
INTELLECTUALIZATION	IH N T AH L EH K CH AH W AH L AH Z EY SH AH N
INTELLECTUALIZATIONS	IH N T AH L EH K CH AH W AH L AH Z EY SH AH N Z
INTENERATION	IH N T EH N ER EY SH AH N
INTENERATIONS	IH N T EH N ER EY SH AH N Z
INTENSIFICATION	IH N T EH N S IH F AH K EY SH AH N
INTENSIFICATIONS	IH N T EH N S AH F AH K EY SH AH N Z
INTENTION	IH N T EH N CH AH N
INTENTIONAL	IH N T EH N SH AH N AH L
INTENTIONALITIES	IH N T EH N CH AH N AH L AH T IY Z
INTENTIONALITY	IH N T EH N CH AH N AH L AH T IY
INTENTIONALLY	IH N T EH N SH AH N AH L IY
INTENTIONS	IH N T EH N CH AH N Z
INTERACTION	IH N T ER AE K SH AH N
INTERACTION(2)	IH N ER AE K SH AH N
INTERACTIONAL	IH N T ER AE K SH AH N AH L
INTERACTIONS	IH N T ER AE K SH AH N Z
INTERACTIONS(2)	IH N ER AE K SH AH N Z
INTERANIMATION	IH N T ER AE N AH M EY SH AH N
INTERANIMATIONS	IH N T ER AE N AH M EY SH AH N Z
INTERASSOCIATION	IH N T ER AH S OW S IY EY SH AH N
INTERASSOCIATIONS	IH N T ER AH S OW S IY EY SH AH N Z
INTERCALATION	IH N T AH R K AH L EY SH AH N
INTERCALATIONS	IH N T AH R K AH L EY T IY AH N Z
INTERCALIBRATION	IH N T ER K AE L AH B R EY SH AH N
INTERCALIBRATIONS	IH N T ER K AE L AH B R EY SH AH N Z
INTERCEPTION	IH N T ER S EH P SH AH N
INTERCEPTION(2)	IH N ER S EH P SH AH N
INTERCEPTIONS	IH N T ER S EH P SH AH N Z
INTERCEPTIONS(2)	IH N ER S EH P SH AH N Z
INTERCOLUMNIATION	IH N T ER K AA L AH M IY EY SH AH N
INTERCOLUMNIATIONS	IH N T ER K AA L AH M IY EY SH AH N Z
INTERCOMMUNICATION	IH N T ER K AH M Y UW N AH K EY SH AH N
INTERCOMMUNICATIONS	IH N T ER K AH M Y UW N AH K EY SH AH N Z
INTERCONNECTION	IH N T ER K AH N EH K SH AH N
INTERCONNECTIONS	IH N T ER K AH N EH K SH AH N Z
INTERCORRELATION	IH N T ER K AO R AH L EY SH AH N
INTERCORRELATIONS	IH N T ER K AO R AH L EY SH AH N Z
INTERDENOMINATIONAL	IH N T ER D IY N AA M AH N EY SH AH N AH L
INTERDICTION	IH N T ER D IH K SH AH N
INTERDICTIONS	IH N T ER D IH K SH AH N Z
INTERDIGITATION	IH N T ER D IH JH AH T EY SH AH N
INTERDIGITATIONS	IH N T ER D IH JH AH T EY SH AH N Z
INTERGENERATION	IH N T ER JH EH N ER EY SH AH N
INTERGENERATIONAL	IH N T ER JH EH N ER EY SH AH N AH L
INTERGENERATIONS	IH N T ER JH EH N ER EY SH AH N Z
INTERGRADATION	IH N T ER G R EY D EY SH AH N
INTERGRADATIONAL	IH N T ER G R EY D EY SH AH N AH L
INTERGRADATIONS	IH N T ER G R EY D EY SH AH N Z
INTERINSTITUTIONAL	IH N T ER IH N S T AH T UW SH AH N AH L
INTERIORIZATION	IH N T IH R IY ER AH Z EY SH AH N
INTERIORIZATIONS	IH N T IH R IY ER AH Z EY SH AH N Z
INTERJECTION	IH N T ER JH EH K SH AH N
INTERJECTIONAL	IH N T ER JH EH K SH AH N AH L
INTERJECTIONALLY	IH N T ER JH EH K SH AH N AH L IY
INTERJECTIONS	IH N T ER JH EH K SH AH N Z
INTERJURISDICTIONAL	IH N T ER JH UH R AH S D IH K SH AH N AH L
INTERLINEATION	IH N T ER L IH N IY EY SH AH N
INTERLINEATIONS	IH N T ER L IH N IY EY SH AH N Z
INTERMEDIATION	IH N T ER M IY D IY EY SH AH N
INTERMEDIATIONS	IH N T ER M IY D IY EY SH AH N Z
INTERMODULATION	IH N T ER M AA JH UW L EY SH AH N
INTERMODULATIONS	IH N T ER M AA JH UW L EY SH AH N Z
INTERNALIZATION	IH N T ER N AH L AH Z EY SH AH N
INTERNALIZATIONS	IH N T ER N AH L AH Z EY SH AH N Z
INTERNATIONAL	IH N T ER N AE SH AH N AA L
INTERNATIONAL(2)	IH N ER N AE SH AH N AA L
INTERNATIONALISE	IH N T AH R N AH T IY AA N AH L AY Z
INTERNATIONALISED	IH N T ER N AE SH AH N AA L IY Z D
INTERNATIONALISES	IH N T ER N AE SH AH N AA L IY Z IH Z
INTERNATIONALISING	IH N T ER N AE SH AH N AA L IY Z IH NG
INTERNATIONALISM	IH N T ER N AE SH AH N AA L IH Z AH M
INTERNATIONALISM(2)	IH N ER N AE SH AH N AA L IH Z AH M
INTERNATIONALISMS	IH N T ER N AE SH AH N AA L IH Z AH M Z
INTERNATIONALIST	IH N T ER N AE SH AH N AH L IH S T
INTERNATIONALIST(2)	IH N ER N AE SH AH N AH L IH S T
INTERNATIONALISTS	IH N T ER N AE SH AH N AA L IH S T S
INTERNATIONALITIES	IH N T ER N AE SH AH N AE L AH T IY Z
INTERNATIONALITY	IH N T ER N AE SH AH N AE L AH T IY
INTERNATIONALIZATION	IH N T ER N AE SH AH N AA L IH Z EY SH AH N
INTERNATIONALIZATION(2)	IH N ER N AE SH AH N AA L IH Z EY SH AH N
INTERNATIONALIZATIONS	IH N T ER N AE SH AH N AA L AH Z EY SH AH N Z
INTERNATIONALIZE	IH N T ER N AE SH AH N AH L AY Z
INTERNATIONALIZE(2)	IH N ER N AE SH AH N AA L AY Z
INTERNATIONALIZE(3)	IH N ER N AE SH N AA L AY Z
INTERNATIONALIZED	IH N T ER N AE SH AH N AA L AY Z D
INTERNATIONALIZED(2)	IH N ER N AE SH AH N AA L AY Z D
INTERNATIONALIZED(3)	IH N ER N AE SH N AA L AY Z D
INTERNATIONALIZES	IH N T ER N AE SH AH N AA L AY Z IH Z
INTERNATIONALIZING	IH N T ER N AE SH AH N AA L AY Z IH NG
INTERNATIONALLY	IH N T ER N AE SH AH N AA L IY
INTERNATIONALLY(2)	IH N T ER N AE SH N AA L IY
INTERNATIONALLY(3)	IH N ER N AE SH AH N AA L IY
INTERNATIONALLY(4)	IH N ER N AE SH N AA L IY
INTERNATIONALS	IH N T ER N AE SH AH N AH L Z
INTERORGANIZATIONAL	IH N T ER AO R G AH N AH Z EY SH AH N AH L
INTERPELLATION	IH N T ER P EH L EY SH AH N
INTERPELLATIONS	IH N T ER P EH L EY SH AH N Z
