GE	JH IY
MYOGENIC	M AY AH JH AH N AH K
MYTHOLOGER	M IH TH AH L OW JH AH R
MYTHOLOGERS	M AH TH AA L AH JH AH R Z
NAGGED	N AE G D
NAGGER	N AE G ER
NAGGERS	N AE G ER Z
NASOPHARYNGEAL	N AH S AA F AH R IH N JH IY AH L
NASOPHARYNGES	N AH S AA F AH R IH N JH AH Z
NEGLIGE	N EH G L AY JH
NEGLIGEE	N EH G L IH JH IY
NEGLIGEES	N EH G L IH JH IY Z
NEGLIGENCE	N EH G L AH JH AH N S
NEGLIGENCE(2)	N EH G L IH JH AH N S
NEGLIGENCES	N EH G L IH JH AH N S IH Z
NEGLIGENT	N EH G L AH JH AH N T
NEGLIGENT(2)	N EH G L IH JH AH N T
NEGLIGENTLY	N EH G L IH JH AH N T L IY
NEGLIGES	N EH G L AY JH AH Z
NEURODEGENERATIVE	N Y UH R AH D EH JH AH N AH R EY T AH V
NEUROGENIC	N Y UH R AH JH AH N AH K
NEUROGENICALLY	N Y UH R AH JH EH N AH K AE L IY
NEUROSURGEON	N UH R OW S ER JH AH N
NEUROSURGEONS	N UH R OW S ER JH AH N Z
NEUROSURGERIES	N Y UH R AH S AH R JH AH R AY Z
NEUROSURGERY	N UH R OW S ER JH ER IY
NEWSAGENT	N UW Z IH JH AH N T
NEWSAGENTS	N UW Z IH JH AH N T S
NEWSMONGER	N UW Z M AH NG G ER
NEWSMONGERS	N UW Z M AH NG G ER Z
NIDGET	N IH JH AH T
NIDGETS	N IH JH AH T S
NIGGER	N IH G ER
NIGGERS	N IH G ER Z
NITROGEN	N AY T R AH JH AH N
NITROGENASE	N IH T R AA JH AH N EY Z
NITROGENASES	N IH T R AA JH AH N EY Z AH Z
NITROGENOUS	N AY T R AA JH AH N AH S
NITROGENS	N AY T R AH JH AH N Z
NOGGED	N AA G D
NONAGE	N AA N EY JH
NONAGENARIAN	N AH N AE JH AH N EH R IY AH N
NONAGENARIANS	N AH N AE JH AH N AE R IY AH N Z
NONAGES	N AA N EY JH IH Z
NONALLERGENIC	N AA N AO L ER JH IY N IH K
NONANTIGENIC	N AA N AE N T IH JH AH N IH K
NONBELLIGERENCIES	N AA N B AH L IH JH ER AH N S IY Z
NONBELLIGERENCY	N AA N B AH L IH JH ER AH N S IY
NONBELLIGERENT	N AA N B AH L IH JH ER AH N T
NONBELLIGERENTS	N AA N B AH L IH JH ER AH N T S
NONCARCINOGEN	N AA N K AA R S IH N AH JH AH N
NONCARCINOGENIC	N AA N K AA R S IH N AH JH AH N AH K
NONCARCINOGENS	N AA N K AA R S IH N AH JH AH N Z
NONCOLLEGE	N AA N K AA L IH JH
NONCOLLEGES	N AA N K AA L IH JH IH Z
NONCONTINGENT	N AA N K AH N T IH N JH AH N T
NONCOVERAGE	N AA N K OW V EH R IH JH
NONCOVERAGES	N AA N K OW V EH R IH JH IH Z
NONDEGENERATE	N AA N D IY JH EH N ER AH T
NONDEGENERATES	N AA N D IY JH EH N ER AH T S
NONEMERGENCIES	N AA N IH M ER JH AH N S IY Z
NONEMERGENCY	N AA N IH M ER JH AH N S IY
NONENGAGEMENT	N AA N EH N G EY JH M AH N T
NONENGAGEMENTS	N AA N EH N G EY JH M AH N T S
NONGENETIC	N AA N JH AH N EH T IH K
NONGENITAL	N AA N JH EH N AH T AH L
NONGEOMETRICAL	N AA N JH IY AH M EH T R IH K AH L
NONHALOGENATED	N AA N HH AE L AH JH AH N EY T IH D
NONHOMOGENEOUS	N AA N HH OW M AH JH IY N IY AH S
NONIMAGE	N AA N IH M IH JH
NONINDIGENOUS	N AA N IH N D IH JH AH N AH S
NONINTERCHANGEABLE	N AA N IH N T ER CH EY N JH AH B AH L
NONLANGUAGE	N AA N L AE NG G W IH JH
NONLANGUAGES	N AA N L AE NG G W IH JH IH Z
NONMANAGEMENT	N AA N M AE N IH JH M AH N T
NONMANAGEMENTS	N AA N M AE N IH JH M AH N T S
NONMANAGERIAL	N AA N M AE N AH JH IH R IY AH L
NONNEGLIGENT	N AA N EH G L IH JH AH N T
NONNITROGENOUS	N AA N AY T R AH JH AH N AH S
NONPATHOGENIC	N AA N P AE TH AH JH EH N IH K
NONTARGET	N AA N T AA R G AH T
NONURGENT	N AA N ER JH AH N T
NONVEGETARIAN	N AA N V EH JH AH T EH R IY AH N
NONVEGETARIANS	N AA N V EH JH AH T EH R IY AH N Z
NONVINTAGE	N AA N V IH N T IH JH
NOODGE	N UW JH
NOODGED	N UW JH D
NOODGES	N UW JH AH Z
NUDGE	N AH JH
NUDGED	N AH JH D
NUDGER	N AH JH ER
NUDGERS	N AH JH ER Z
NUDGES	N AH JH IH Z
NUGGET	N AH G IH T
NUGGETS	N AH G AH T S
NUGGETY	N AH G AH T IY
NUTSEDGE	N AH T S EH JH
NUTSEDGES	N AH T S EH JH IH Z
OBLIGE	AH B L AY JH
OBLIGED	AH B L AY JH D
OBLIGEE	AH B L AY JH IY
OBLIGEES	AH B L AY JH IY Z
OBLIGER	AH B L AY JH ER
OBLIGERS	AH B L AY JH ER Z
OBLIGES	AH B L AY JH IH Z
OCTOGENARIAN	AA K T AH JH IH N EH R IY AH N
OCTOGENARIANS	AA K T AH JH AH N AE R IY AH N Z
OFFSTAGE	AO F S T EY JH
OFFSTAGES	AO F S T EY JH IH Z
OGEE	OW JH IY IY
OGEES	OW JH IY Z
OHMAGE	AA M AH JH
OHMAGES	AA M AH JH AH Z
OMNIRANGE	AA M N AH R AH N JH
OMNIRANGES	AA M N AH R AE N JH AH Z
ONAGER	AO N IH JH ER
ONAGERS	AA N AH JH ER Z
ONCOGENE	AA NG K OW JH IY N
ONCOGENES	AA NG K AA JH EH N IY S
ONCOGENESES	AO N K OW JH IY N Z IH Z
ONCOGENESIS	AO N K OW JH EH N AH S AH S
ONCOGENIC	AO N K OW JH AH N IH K
ONCOGENICITIES	AO N K OW JH AH N IH K S AH T IY Z
ONCOGENICITY	AO N K OW JH AH N IH K S AH T IY
ONSTAGE	AA N S T EY JH
ONTOGENESES	AA N T AA JH AH N IY Z AH Z
ONTOGENESIS	AA N T AH JH IY N AH S AH S
ONTOGENETIC	AA N T AA JH AH N AH T AH K
ONTOGENETICALLY	AA N T AH JH AH N EH T AH K AE L IY
ONTOGENIES	AO N T AA G AH N IY Z
ONTOGENY	AA N T AA JH AH N IY
OOGENESES	UW JH AH N IY Z AH Z
OOGENESIS	UW JH IY N AH S AH S
OOGENETIC	UW JH AH N AH T AH K
OOGENIES	UW JH AH N AY Z
OOGENY	UW JH AH N IY
ORANGE	AO R AH N JH
ORANGE(2)	AO R IH N JH
ORANGEADE	AO R IH N JH EY D
ORANGEADES	AO R IH N JH EY D Z
ORANGERIE	AO R IH N JH ER IY
ORANGERIES	AO R IH N JH AH R IY Z
ORANGERY	AO R IH N JH AH R IY
ORANGES	AO R AH N JH AH Z
ORANGES(2)	AO R IH N JH IH Z
ORANGEWOOD	AO R IH N JH W UH D
ORANGEWOODS	AO R IH N JH W UH D Z
ORANGEY	AO R IH N JH IY
ORGANOGENESES	AO R G AH N AA JH AH N IY Z AH Z
ORGANOGENESIS	AO R G AH N OW JH EH N AH S IH S
ORGANOGENETIC	AO R G AH N AA JH AH N AH T AH K
ORGEAT	AO R JH IY T
ORGEATS	AO R JH IY EY T S
OROGENESES	AH R AA JH AH N IY Z AH Z
OROGENESIS	AO R AH JH IY N AH S AH S
OROGENETIC	AH R AA JH AH N AH T AH K
OROGENIC	AO R AH JH EH N IH K
OROGENIES	AH R AA JH AH N AY Z
OROGENY	AH R AA JH AH N IY
OROPHARYNGEAL	AH R AA F AH R IH N JH IY AH L
OROPHARYNGES	AH R AA F AH R IH N JH AH Z
ORPHANAGE	AO R F AH N AH JH
ORPHANAGES	AO R F AH N IH JH IH Z
ORTHOGENESES	AO R TH AA JH AH N IY Z AH Z
ORTHOGENESIS	AO R TH AH JH IY N AH S AH S
ORTHOGENETIC	AO R TH AA JH AH N AH T AH K
ORTHOGENETICALLY	AO R TH AH JH AH N EH T AH K AE L IY
OSSIFRAGE	AA S IH F R AH JH
OSSIFRAGES	AA S IH F R AH JH AH Z
OSTEOGENESES	AA S T IY AA JH AH N IY Z AH Z
OSTEOGENESIS	AA S T IY AH JH IY N AH S AH S
OSTEOGENIC	AA S T IY AH JH AH N AH K
OUTAGE	AW T AH JH
OUTAGE(2)	AW T IH JH
OUTAGES	AW T IH JH IH Z
OUTBEGGED	AW T B EH G D
OUTBRAGGED	AW T B R AE G D
OUTCHARGE	AW T CH AA R JH
OUTCHARGED	AW T CH AA R JH D
OUTCHARGES	AW T CH AA R JH IH Z
OUTDODGE	AW T D AA JH
OUTDODGED	AW T D AA JH D
OUTDODGES	AW T D AA JH IH Z
OUTDRAGGED	AW T D R AE G D
OUTGENERAL	AW T JH EH N ER AH L
OUTGENERALED	AW T JH EH N ER AH L D
OUTGENERALING	AW T JH EH N ER AH L IH NG
OUTGENERALS	AW T JH EH N ER AH L Z
OUTRAGE	AW T R EY JH
OUTRAGED	AW T R EY JH D
OUTRAGEOUS	AW T R EY JH AH S
OUTRAGEOUSLY	AW T R EY JH AH S L IY
OUTRAGEOUSNESS	AW T R EY JH AH S N AH S
OUTRAGEOUSNESSES	AW T R EY JH AH S N AH S IH Z
OUTRAGES	AW T R EY JH IH Z
OUTRANGE	AW T R EY N JH
OUTRANGED	AW T R EY N JH D
OUTRANGES	AW T R EY N JH IH Z
OUTRIGGER	AW T R IH G ER
OUTRIGGERS	AW T R IH G ER Z
OVERAGE	OW V ER EY JH
OVERAGED	OW V ER EY JH D
OVERAGES	OW V ER EY JH IH Z
OVERARRANGE	OW V ER AH R EY N JH
OVERARRANGED	OW V ER AH R EY N JH D
OVERARRANGES	OW V ER AH R EY N JH IH Z
OVERCHARGE	OW V ER CH AA R JH
OVERCHARGED	OW V ER CH AA R JH D
OVERCHARGES	OW V ER CH AA R JH IH Z
OVERDOSAGE	OW V ER D OW S IH JH
OVERDOSAGES	OW V ER D OW S IH JH IH Z
OVEREAGER	OW V ER IY G ER
OVEREAGERNESS	OW V ER IY G ER N AH S
OVEREAGERNESSES	OW V ER IY G ER N AH S IH Z
OVERENCOURAGE	OW V ER AH N K ER IH JH
OVERENCOURAGED	OW V ER AH N K ER IH JH D
OVERENCOURAGES	OW V ER AH N K ER IH JH IH Z
OVERENERGETIC	OW V ER EH N ER JH EH T IH K
OVEREXAGGERATE	OW V ER IH G Z AE JH ER AH T
OVEREXAGGERATED	OW V ER IH G Z AE JH ER EY T IH D
OVEREXAGGERATES	OW V ER IH G Z AE JH ER AH T S
OVEREXAGGERATING	OW V ER IH G Z AE JH ER EY T IH NG
OVEREXAGGERATION	OW V ER IH G Z AE JH ER EY SH AH N
OVEREXAGGERATIONS	OW V ER IH G Z AE JH ER EY SH AH N Z
OVERGENERALIZATION	OW V ER JH EH N ER AH L AH Z EY SH AH N
OVERGENERALIZATIONS	OW V ER JH EH N ER AH L AH Z EY SH AH N Z
OVERGENERALIZE	OW V ER JH EH N ER AH L AY Z
OVERGENERALIZED	OW V ER JH EH N ER AH L AY Z D
OVERGENERALIZES	OW V ER JH EH N ER AH L AY Z IH Z
OVERGENERALIZING	OW V ER JH EH N ER AH L AY Z IH NG
OVERGENEROSITIES	OW V ER JH EH N AH R AA S AH T IY Z
OVERGENEROSITY	OW V ER JH EH N AH R AA S AH T IY
OVERGENEROUS	OW V ER JH EH N ER AH S
OVERGENEROUSLY	OW V ER JH EH N ER AH S L IY
OVERHOMOGENIZE	OW V ER HH OW M AA JH AH N AY Z
OVERHOMOGENIZED	OW V ER HH OW M AA JH AH N AY Z D
OVERHOMOGENIZES	OW V ER HH OW M AA JH AH N AY Z IH Z
OVERHOMOGENIZING	OW V ER HH OW M AA JH AH N AY Z IH NG
OVERINDULGE	OW V ER IH N D AH L JH
OVERINDULGED	OW V ER IH N D AH L JH D
OVERINDULGENCE	OW V ER IH N D AH L JH AH N S
OVERINDULGENCES	OW V ER IH N D AH L JH AH N S IH Z
OVERINDULGENT	OW V ER IH N D AH L JH AH N T
OVERINDULGES	OW V ER IH N D AH L JH IH Z
OVERINGENIOUS	OW V ER IH N JH IY N Y AH S
OVERINGENUITIES	OW V ER IH N JH AH N UW AH T IY Z
OVERINGENUITY	OW V ER IH N JH AH N UW AH T IY
OVERLARGE	OW V ER L AA R JH
OVERMANAGE	OW V ER M AE N IH JH
OVERMANAGED	OW V ER M AE N IH JH D
OVERMANAGES	OW V ER M AE N IH JH IH Z
OVERPACKAGE	OW V ER P AE S IH JH
OVERPACKAGED	OW V ER P AE S IH JH D
OVERPACKAGES	OW V ER P AE S IH JH IH Z
OVERPRIVILEGED	OW V ER P R IH V L IH JH D
OVERURGE	OW V ER ER JH
OVERURGED	OW V ER ER JH D
OVERURGES	OW V ER ER JH IH Z
OVERVOLTAGE	OW V ER V OW L T IH JH
OVERVOLTAGES	OW V ER V OW L T IH JH IH Z
OVOLACTOVEGETARIAN	AA V AH L AH K T AA V AH JH AH T EH R IY AH N
OVOLACTOVEGETARIANS	AH V AH L AH K T AA V AH JH AH T AE R IY AH N Z
OXYGEN	AA K S AH JH AH N
OXYGEN(2)	AA K S IH JH AH N
OXYGENATE	AA K S AH JH AH N EY T
OXYGENATED	AA K S AH JH AH N EY T AH D
OXYGENATES	AA K S IH JH AH N AH T S
OXYGENATING	AA K S IH JH AH N EY T IH NG
OXYGENATION	AA K S IH JH AH N EY SH AH N
OXYGENATIONS	AA K S IH JH AH N EY SH AH N Z
OXYGENATOR	AA K S IH JH AH N AH T ER
OXYGENATORS	AA K S IH JH AH N AH T ER Z
OXYGENIC	AA K S IH JH AH N IH K
OXYGENLESS	AA K S IH JH AH N L AH S
OXYGENS	AA K S IH JH AH N Z
OXYHYDROGEN	AA K S IY HH AY D R AH JH AH N
PACKAGE	P AE K AH JH
PACKAGE(2)	P AE K IH JH
PACKAGED	P AE K IH JH D
PACKAGER	P AE K IH JH ER
PACKAGERS	P AE K IH JH ER Z
PACKAGES	P AE K AH JH AH Z
PACKAGES(2)	P AE K IH JH IH Z
PAEDOGENESES	P IY D AA JH AH N IY Z AH Z
PAEDOGENESIS	P IY D AH JH IY N AH S AH S
PAEDOGENETIC	P IY D AA JH AH N AH T AH K
PAEDOGENETICALLY	P IY D AH JH AH N EH T AH K AE L IY
PAEDOGENIC	P IY D AH JH AH N AH K
PAGE	P EY JH
PAGEANT	P AE JH AH N T
PAGEANTRIES	P AE JH AH N T R IY Z
PAGEANTRY	P AE JH AH N T R IY
PAGEANTS	P AE JH AH N T S
PAGEBOY	P EY JH B OY
PAGEBOYS	P EY JH B OY Z
PAGED	P EY JH D
PAGER	P EY JH ER
PAGERS	P EY JH ER Z
PAGES	P EY JH AH Z
PAGES(2)	P EY JH IH Z
PALEOGEOGRAPHIC	P EY L IY OW JH IY AA G R AH F AH K
PALEOGEOGRAPHICAL	P EY L IY OW JH IY AA G R AH F IH S AH L
PALEOGEOGRAPHICALLY	P EY L IY OW JH IY AA G R AE F AH K AE L IY
PALEOGEOGRAPHIES	P EY L IY OW JH IY AA G R AH F AY Z
PALEOGEOGRAPHY	P EY L IY OW JH IY AA G R AH F IY
PALINGENESES	P AE L IH N JH IY N Z IH Z
PALINGENESIS	P AE L IH N JH EH N AH S AH S
PALINGENETIC	P AE L IH N JH AH N EH T IH K
PANGED	P AE NG D
PANGEN	P AE NG AH N
PANGENE	P AE N JH IY N
PANGENES	P AE N JH IY N Z
PANGENESES	P AE N JH IY N Z IH Z
PANGENESIS	P AE N JH EH N AH S AH S
PANGENETIC	P AE N JH AH N EH T IH K
PANGENS	P AE NG AH N Z
PAPERHANGER	P EY P ER HH AE NG ER
PAPERHANGERS	P EY P ER HH AE NG ER Z
PARAGENESES	P AA R AH JH IY N Z IH Z
PARAGENESIS	P AA R AH JH EH N AH S AH S
PARAGENETIC	P AA R EY JH N EH T IH K
PARAGENETICALLY	P AA R EY JH N EH T IH K AH L IY
PARAGOGE	P AE R AH G OW JH
PARAGOGES	P AE R AH G OW JH AH Z
PARALANGUAGE	P AA R AH L AE NG G W IH JH
PARALANGUAGES	P AA R AH L AE NG G W IH JH IH Z
PARENTAGE	P EH R AH N T AH JH
PARENTAGES	P AE R AH N T IH JH IH Z
PARGE	P AA R JH
PARGED	P AA R JH D
PARGES	P AA R JH AH Z
PARGET	P AA R G EH T
PARGETED	P AA R G EH T IH D
PARGETING	P AA R G EH T IH NG
PARGETS	P AA R G EH T S
PARGETTED	P AA R G EH T IH D
PARGETTING	P AA R G EH T IH NG
PARRIDGE	P AA R IH JH
PARRIDGES	P AA R IH JH IH Z
PARSONAGE	P AA R S AH N IH JH
PARSONAGES	P AA R S AH N IH JH AH Z
PARTHENOGENESES	P AA R TH AH N AA JH AH N IY Z AH Z
PARTHENOGENESIS	P AA R TH AH N AH JH IY N AH S AH S
PARTHENOGENETIC	P AA R TH AH N OW JH AH N EH T IH K
PARTHENOGENETICALLY	P AA R TH EH N AH JH AH N EH T AH K AE L IY
PARTRIDGE	P AA R T R AH JH
PARTRIDGE(2)	P AA R T R IH JH
PARTRIDGEBERRIES	P AA R T R IH JH B EH R IY Z
PARTRIDGEBERRY	P AA R T R IH JH B EH R IY
PARTRIDGES	P AA R T R IH JH IH Z
PASSAGE	P AE S AH JH
PASSAGE(2)	P AE S IH JH
PASSAGED	P AE S IH JH D
PASSAGES	P AE S AH JH AH Z
PASSAGES(2)	P AE S IH JH IH Z
PASSAGEWAY	P AE S AH JH W EY
PASSAGEWAY(2)	P AE S IH JH W EY
PASSAGEWAYS	P AE S IH JH W EY Z
PASSAGEWORK	P AE S IH JH W ER K
PASSAGEWORKS	P AE S IH JH W ER K S
PASSENGER	P AE S AH N JH ER
PASSENGERS	P AE S AH N JH ER Z
PASTURAGE	P AE S CH ER IH JH
PASTURAGES	P AE S CH ER IH JH IH Z
PATHOGEN	P AE TH AH JH AH N
PATHOGENESES	P AH TH AA JH AH N IY Z AH Z
PATHOGENESIS	P AE TH AH JH EH N AH S AH S
PATHOGENETIC	P AH TH AA JH AH N AH T AH K
PATHOGENIC	P AE TH AH JH EH N IH K
PATHOGENICITIES	P AE TH AH JH EH N IH K AH T IY Z
PATHOGENICITY	P AE TH AH JH EH N IH K AH T IY
PATHOGENS	P AE TH AH JH AH N Z
PATRONAGE	P AE T R AH N IH JH
PATRONAGE(2)	P EY T R AH N AH JH
PATRONAGE(3)	P EY T R AH N IH JH
PATRONAGES	P EY T R AH N IH JH IH Z
PAWNAGE	P AO N IH JH
PAWNAGES	P AO N IH JH IH Z
PEAGE	P IY AH JH
PEAGES	P IY AH JH AH Z
PEDOGENESES	P AH D AA JH AH N IY Z AH Z
PEDOGENESIS	P EH D AH JH IY N AH S AH S
PEDOGENETIC	P AH D AA JH AH N AH T AH K
PEDOGENIC	P EH D AH JH AH N AH K
PEERAGE	P IH R AH JH
PEERAGES	P IH ER IH JH IH Z
PEGGED	P EH G D
PELAGE	P IY L AH JH
PELAGES	P IY L AH JH AH Z
PEONAGE	P IY AH N AH JH
PEONAGES	P IY AA N AH JH AH Z
PEPSINOGEN	P EH P S IH N AH JH AH N
PEPSINOGENS	P EH P S IH N AH JH AH N Z
PERCENTAGE	P ER S EH N T AH JH
PERCENTAGE(2)	P ER S EH N AH JH
PERCENTAGE(3)	P ER S EH N T IH JH
PERCENTAGE(4)	P ER S EH N IH JH
PERCENTAGES	P ER S EH N T IH JH IH Z
PERCENTAGES(2)	P ER S EH N IH JH IH Z
PERIGEAL	P AH R IH JH IY AH L
PERIGEAN	P AH R AY JH IY AH N
PERIGEE	P AH R AH JH IY IY
PERIGEES	P AH R AH JH IY Z
PERIWIGGED	P AH R IH W AH G D
PERMILLAGE	P ER M IH L IH JH
PERMILLAGES	P ER M IH L IH JH IH Z
PERSIFLAGE	P ER S IH F L AA ZH
PERSIFLAGES	P ER S IH F L AA ZH IH Z
PERSONAGE	P ER S AH N IH JH
PERSONAGES	P ER S AH N IH JH IH Z
PETROGENESES	P EH T R AA JH AH N IY Z AH Z
PETROGENESIS	P EH T R AH JH IY N AH S AH S
PETROGENETIC	P EH T R AA JH AH N AH T AH K
PETTIFOGGED	P EH T AH F AH G D
PETTIFOGGER	P EH T AH F AA G AH R
PETTIFOGGERIES	P EH T AH F AA JH AH R AY Z
PETTIFOGGERS	P EH T AH F AA JH AH R Z
PETTIFOGGERY	P EH T AH F AH G EH R IY
PFENNIGE	F EH N AY JH
PHAGE	F EY JH
PHAGES	F EY JH AH Z
PHALANGE	F AH L AE N JH
PHALANGE(2)	F AH L EY N JH
PHALANGEAL	F AH L AE N JH IY AH L
PHALANGER	F AE L AH NG AH R
PHALANGERS	F AH L AE N JH AH R Z
PHALANGES	F AH L AE N JH IY Z
PHALANGES(2)	F AH L EY N JH IH Z
PHARYNGEAL	F AH R IH N JH IY AH L
PHARYNGES	F AH R IH N JH AH Z
PHELLOGEN	F EH L AH JH AH N
PHELLOGENS	F EH L AH JH AH N Z
PHILOPROGENITIVE	F AH L AA P R AH JH EH N AH T AH V
PHILOPROGENITIVENESS	F AH L AH P R AH JH EH N AH T AY V N AH S
PHILOPROGENITIVENESSES	F AH L AH P R AA JH AH N AH T IH V AH N EH S AH Z
PHOSGENE	F AA Z JH IY N
PHOSGENES	F AA Z JH IY N Z
PHOTOGENIC	F OW T AH JH EH N IH K
PHOTOGENICALLY	F OW T AH JH EH N IH K AH L IY
PHOTOGEOLOGIC	F OW T OW JH IY AH L AA JH IH K
PHOTOGEOLOGICAL	F OW T OW JH IY AH L AA JH IH K AH L
PHOTOGEOLOGIES	F OW T OW JH IY AA L AH JH IY Z
PHOTOGEOLOGIST	F AA T AH JH IY AA L AH JH AH S T
PHOTOGEOLOGISTS	F AH T OW JH IY AA L AH JH AH S T S
OBCONIC	AA B K AH N AH K
TEKTITE	T EH K T AY T
AUBADE	AH B EY D
FRABJOUS	F R AE B AH S
EACH	IY CH
ROACH	R OW CH
LETHAL	L IY TH AH L
