CR	S IY R
SUBSCRIBED	S AH B S K R AY B D
SUBSCRIBER	S AH B S K R AY B ER
SUBSCRIBERS	S AH B S K R AY B ER Z
SUBSCRIBES	S AH B S K R AY B Z
SUBSCRIBING	S AH B S K R AY B IH NG
SUBSCRIPT	S AH B S K R IH P T
SUBSCRIPTION	S AH B S K R IH P SH AH N
SUBSCRIPTIONS	S AH B S K R IH P SH AH N Z
SUBSCRIPTS	S AH B S K R IH P T S
SUBSECRETARIES	S AH B S EH K R AH T EH R IY Z
SUBSECRETARY	S AH B S EH K R AH T EH R IY
SUCRASE	S AH K R EY Z
SUCRASES	S AH K R EY Z AH Z
SUCRE	S UW K ER
SUCRES	S AH K AH R Z
SUCROSE	S UW K R OW S
SUCROSES	S AH K R OW Z AH Z
SUNSCREEN	S AH N S K R IY N
SUNSCREENING	S AH N S K R IY N IH NG
SUNSCREENS	S AH N S K R IY N Z
SUPERBUREAUCRAT	S UW P ER B Y UH R AH K R AE T
SUPERBUREAUCRATS	S UW P ER B Y UH R AH K R AE T S
SUPERCRIMINAL	S UW P ER K R IH M AH N AH L
SUPERCRIMINALS	S UW P ER K R IH M AH N AH L Z
SUPERCRITICAL	S UW P ER K R IH T IH K AH L
SUPERMICRO	S UW P AH R M IH K R OW
SUPERMICROS	S UW P AH R M IH K R AH Z
SUPERSCRIBE	S UW P ER S K R AY B
SUPERSCRIBED	S UW P ER S K R AY B D
SUPERSCRIBES	S UW P ER S K R AY B Z
SUPERSCRIBING	S UW P ER S K R AY B IH NG
SUPERSCRIPT	S UW P ER S K R IH P T
SUPERSCRIPTION	S UW P ER S K R IH P SH AH N
SUPERSCRIPTIONS	S UW P ER S K R IH P SH AH N Z
SUPERSCRIPTS	S UW P ER S K R IH P T S
SUPERSECRECIES	S UW P ER S IY K R AH S IY Z
SUPERSECRECY	S UW P ER S IY K R AH S IY
SUPERSECRET	S UW P ER S IY K R IH T
SUPERSECRETS	S UW P ER S IY K R AH T S
SYNCRETIC	S IH NG K R AH T AH K
SYNCRETISE	S IH NG K R AH T AY Z
SYNCRETISED	S IH NG K R AH T AH S T
SYNCRETISES	S IH NG K R AH T AY Z AH Z
SYNCRETISING	S IH NG K R AH T AY Z AH NG
SYNCRETISM	S IH NG K R AH T IH Z AH M
SYNCRETISMS	S IH NG K R AH T AH Z AH M Z
SYNCRETIST	S IH NG K R AH T AH S T
SYNCRETISTIC	S IH NG K R AH T AH S T AH K
SYNCRETISTS	S IH NG K R AH T AH S T S
SYNCRETIZE	S IH NG K R AH T AY Z
SYNCRETIZED	S IH NG K R AH T AY Z D
SYNCRETIZES	S IH NG K R AH T AY Z AH Z
SYNCRETIZING	S IH NG K R AH T AY Z AH NG
TACRINE	T AE K R AY N
TACRINES	T AE K R AY N Z
TECHNOCRACIES	T EH K N AA K R AH S IY Z
TECHNOCRACY	T EH K N AA K R AH S IY
TECHNOCRAT	T EH K N AH K R AE T
TECHNOCRATIC	T EH K N AH K R AE T IH K
TECHNOCRATS	T EH K N AH K R AE T S
TESTCROSS	T EH S T K R AO S
TESTCROSSED	T EH S T K R AO S T
TESTCROSSES	T EH S T K R AO S IH Z
TESTCROSSING	T EH S T K R AO S IH NG
THALASSOCRACIES	TH AH L AE S AA K R AH S IY Z
THALASSOCRACY	TH AH L AE S AA K R AH S IY
THALASSOCRAT	TH AE L AH S AA K R AH T
THALASSOCRATS	TH AH L AE S AH K R EY T S
THEOCRACIES	TH IY AA K R AH S IY Z
THEOCRACY	TH IY AA K R AH S IY
THEOCRAT	TH IY AA K R AH T
THEOCRATIC	TH IY AH K R AE T IH K
THEOCRATICAL	TH IY AA K R AH T IH S AH L
THEOCRATICALLY	TH IY AA K R AE T AH K AE L IY
THEOCRATS	TH IY AH K R EY T S
THUMBSCREW	TH AH M S K R UW
THUMBSCREWS	TH AH M S K R UW Z
TIMOCRACIES	T AH M AA K R AH S IY Z
TIMOCRACY	T AH M AA K R AH S IY
TIMOCRATIC	T AH M AA K R AH T AH K
TIMOCRATICAL	T AH M AA K R AH T IH S AH L
TOPCROSS	T AA P K R AO S
TOPCROSSES	T AA P K R AO S IH Z
TRADECRAFT	T R EY D K R AE F T
TRADECRAFTS	T R EY D K R AE F T S
TRANSCRIBE	T R AE N S K R AY B
TRANSCRIBED	T R AE N S K R AY B D
TRANSCRIBER	T R AE N S K R AY B ER
TRANSCRIBERS	T R AE N S K R AY B ER Z
TRANSCRIBES	T R AE N S K R AY B Z
TRANSCRIBING	T R AE N S K R AY B IH NG
TRANSCRIPT	T R AE N S K R IH P T
TRANSCRIPTASE	T R AE N S R IH P T EY Z
TRANSCRIPTASES	T R AE N S R IH P T EY Z AH Z
TRANSCRIPTION	T R AE N S K R IH P SH AH N
TRANSCRIPTIONAL	T R AE N S K R IH P SH AH N AH L
TRANSCRIPTIONALLY	T R AE N S K R IH P SH AH N AH L IY
TRANSCRIPTIONIST	T R AE N S K R IH P SH AH N IH S T
TRANSCRIPTIONISTS	T R AE N S K R IH P SH AH N IH S T S
TRANSCRIPTIONS	T R AE N S K R IH P SH AH N Z
TRANSCRIPTS	T R AE N S K R IH P T S
TYPESCRIPT	T AY P S K R IH P T
TYPESCRIPTS	T AY P S K R IH P T S
ULTRACRITICAL	AH L T R AH K R IH T IH K AH L
ULTRADEMOCRATIC	AH L T R AH D EH M AH K R AE T IH K
ULTRAMICRO	AH L T R AH M IH K R OW
ULTRAMICROSCOPE	AH L T R AH M AY K R OW S K OW P
ULTRAMICROSCOPES	AH L T R AH M AY K R OW S K OW P S
ULTRAMICROSCOPIC	AH L T R AH M AY K R AH S K AA P IH K
ULTRAMICROSCOPICAL	AH L T R AH M AY K R AH S K AA P IH K AH L
ULTRAMICROSCOPICALLY	AH L T R AH M AY K R AH S K AA P IH K AH L IY
ULTRAMICROTOME	AH L T R AH M AY K R OW T OW M
ULTRAMICROTOMES	AH L T R AH M AY K R OW T OW M Z
ULTRAMICROTOMIES	AH L T R AH M AY K R OW T OW M IY Z
ULTRAMICROTOMY	AH L T R AH M AY K R OW T OW M IY
ULTRASECRET	AH L T R AH S IY K R AH T
UNACCREDITED	AH N AH K R EH D IH T IH D
UNBUREAUCRATIC	AH N B Y UH R AH K R AE T IH K
UNCONSECRATED	AH N K AA N S AH K R EY T IH D
UNCRACKED	AH N K R AE K T
UNCRATE	AH N K R EY T
UNCRATED	AH N K R EY T IH D
UNCRATES	AH N K R EY T S
UNCRATING	AH N K R EY T IH NG
UNCRAZY	AH N K R EY Z IY
UNCREATE	AH N K R IY EY T
UNCREATED	AH N K R IY EY T IH D
UNCREATES	AH N K R IY EY T S
UNCREATING	AH N K R IY EY T IH NG
UNCREATIVE	AH N K R IY EY T IH V
UNCREDENTIALED	AH N K R IH D EH N CH AH L D
UNCREDITED	AH N K R EH D AH T IH D
UNCRIPPLED	AH N K R IH P AH L D
UNCRITICAL	AH N K R IH T IH K AH L
UNCRITICALLY	AH N K R IH T IH K AH L IY
UNCRITICALLY(2)	AH N K R IH T IH K L IY
UNCROPPED	AH N K R AA P T
UNCROSS	AH N K R AO S
UNCROSSABLE	AH N K R AO S AH B AH L
UNCROSSED	AH N K R AO S T
UNCROSSES	AH N K R AO S IH Z
UNCROSSING	AH N K R AO S IH NG
UNCROWDED	AH N K R AW D IH D
UNCROWN	AH N K R AW N
UNCROWNED	AH N K R AW N D
UNCROWNING	AH N K R AW N IH NG
UNCROWNS	AH N K R AW N Z
UNCRUMPLE	AH N K R AH M P AH L
UNCRUMPLED	AH N K R AH M P AH L D
UNCRUMPLES	AH N K R AH M P AH L Z
UNCRUMPLING	AH N K R AH M P L IH NG
UNCRUSHABLE	AH N K R AH SH AH B AH L
UNCRYSTALLIZED	AH N K R IH S T AH L AY Z D
UNDEMOCRATIC	AH N D EH M AH K R AE T IH K
UNDEMOCRATICALLY	AH N D EH M AH K R AE T IH K AH L IY
UNDERCROFT	AH N D ER K R AO F T
UNDERCROFTS	AH N D ER K R AO F T S
UNDERSECRETARIES	AH N D ER S EH K R AH T EH R IY Z
UNDERSECRETARY	AH N D ER S EH K R IH T EH R IY
UNDESCRIBABLE	AH N D IY S K R AY B AH B AH L
UNDISCRIMINATING	AH N D IH S K R IH M AH N EY T IH NG
UNSCRAMBLE	AH N S K R AE M B AH L
UNSCRAMBLED	AH N S K R AE M B AH L D
UNSCRAMBLER	AH N S K R AE M B AH L ER
UNSCRAMBLERS	AH N S K R AE M B AH L ER Z
UNSCRAMBLES	AH N S K R AE M B AH L Z
UNSCRAMBLING	AH N S K R AE M B AH L IH NG
UNSCREENED	AH N S K R IY N D
UNSCREW	AH N S K R UW
UNSCREWED	AH N S K R UW D
UNSCREWING	AH N S K R UW IH NG
UNSCREWS	AH N S K R UW Z
UNSCRIPTED	AH N S K R IH P T IH D
UNSCRIPTURAL	AH N S K R IH P CH ER AH L
UNSCRUPULOUS	AH N S K R UW P Y AH L AH S
UNSCRUPULOUSLY	AH N S K R UW P Y AH L AH S L IY
UNSCRUPULOUSNESS	AH N S K R UW P Y AH L AH S N AH S
UNSCRUPULOUSNESSES	AH N S K R UW P Y AH L AH S N AH S IH Z
VINCRISTINE	V IH NG K R AH S T AY N
VINCRISTINES	V IH NG K R AH S T AY N Z
WARCRAFT	W AO R K R AE F T
WARCRAFTS	W AO R K R AE F T S
WATCHCRIES	W AA CH K R AY Z
WATCHCRY	W AA CH K R AY
WATERCRAFT	W AO T ER K R AE F T
WATERCRAFTS	W AO T ER K R AE F T S
WATERCRESS	W AO T ER K R EH S
WATERCRESSES	W AH T AH R K R EH S AH Z
WINDSCREEN	W IH N D S K R IY N
WINDSCREENS	W IH N D S K R IY N Z
WISEACRE	W AY Z EY K ER
WISEACRES	W AY Z EY K ER Z
WISECRACK	W AY Z K R AE K
WISECRACKED	W AY Z K R AE K T
WISECRACKER	W AY Z K R AE K ER
WISECRACKERS	W AY Z K R AE K ER Z
WISECRACKING	W AY Z K R AE K IH NG
WISECRACKS	W AY Z K R AE K S
WITCHCRAFT	W IH CH K R AE F T
WITCHCRAFTS	W IH CH K R AE F T S
WOODCRAFT	W UH D K R AE F T
WOODCRAFTS	W UH D K R AE F T S
WHODUNIT	HH UW D AH N IH T
VIA	V AY AH
VIA(2)	V IY AH
FOLACIN	F AA L AH S AH N
OOSPERM	UW S AH R M
CLABBER	K L AE B AH R
GEANTICLINE	JH IY N T AH K L AY N
KUNZITE	K AH N Z AY T
