CA	K AH
COCAPTAIN	K OW K AE P T AH N
COCAPTAINED	K OW K AE P T AH N D
COCAPTAINING	K OW K AE P T AH N IH NG
COCAPTAINS	K OW K AE P T AH N Z
COCARBOXYLASE	K OW K AH R B AA K S AH L EY Z
COCARBOXYLASES	K OW K AH R B AA K S AH L EY Z AH Z
COCARCINOGEN	K OW K AA R S IH N AH JH AH N
COCARCINOGENIC	K OW K AA R S IH N AH JH AH N AH K
COCARCINOGENS	K OW K AA R S IH N AH JH AH N Z
COCAS	K OW K AE Z
COCATALYST	K OW K AE T AH L AH S T
COCATALYSTS	K OW K AE T AH L AH S T S
COCCAL	K AA K AH L
CODICOLOGICAL	K OW D AH K AA L AH JH IH S AH L
CODIFICATION	K AA D AH F AH K EY SH AH N
CODIFICATIONS	K OW D AH F AH K EY SH AH N Z
COEDUCATION	K OW EH JH AH K EY SH AH N
COEDUCATIONAL	K OW EH JH AH K EY SH AH N AH L
COEDUCATIONALLY	K OW EH JH AH K EY SH AH N AH L IY
COEDUCATIONS	K OW EH JH AH K EY SH AH N Z
COELACANTH	S IY L AH K AE N TH
COELACANTHS	K OW EH L AH K AH N TH S
COENZYMATICALLY	K OW EH N Z AH M AE T IH K AH L IY
COFFEECAKE	K AO F IY K EY K
COFFEECAKES	K AO F IY K EY K S
COHOMOLOGICAL	K OW HH OW M OW L AA JH IH K AH L
COLCANNON	K AA L K AE N AH N
COLCANNONS	K AA L K AE N AH N Z
COLLECTIVISTICALLY	K AA L IH K T IH V IH S T IH K AH L IY
COLLOCATE	K AA L AH K EY T
COLLOCATED	K AA L AH K EY T AH D
COLLOCATES	K AA L AH K EY T S
COLLOCATING	K AA L AH K EY T AH NG
COLLOCATION	K AA L AH K EY SH AH N
COLLOCATIONAL	K AA L AH K AH T IY AH N AH L
COLLOCATIONS	K AA L AH K EY T IY AH N Z
COLOCATE	K OW L OW K AH T
COLOCATED	K OW L OW K EY T IH D
COLOCATES	K OW L OW K AH T S
COLOCATING	K OW L OW K EY T IH NG
COLORIMETRICALLY	K OW L AO R AH M EH T R AH K AE L IY
COLORISTICALLY	K AH L ER IH S T IH K AH L IY
COMEDICALLY	K OW M EH D IH K AH L IY
COMICAL	K AA M IH K AH L
COMICALITIES	K AA M IH K AH L AH T IY Z
COMICALITY	K AA M IH K AH L AH T IY
COMICALLY	K AA M IH K AH L IY
COMICALLY(2)	K AA M IH K L IY
COMMODIFICATION	K AH M AA D AH F AH K EY SH AH N
COMMODIFICATIONS	K AH M AA D AH F AH K EY SH AH N Z
COMMONSENSICAL	K AA M AH N S EH N S IH K AH L
COMMONSENSICALLY	K AA M AH N S EH N S IH K AH L IY
COMMUNICABILITIES	K AH M Y UW N AH K AH B IH L AH T EH Z
COMMUNICABILITY	K AH M Y UW N AH K AH B IH L AH T EH
COMMUNICABLE	K AH M Y UW N AH K AH B AH L
COMMUNICABLENESS	K AH M Y UW N AH K AH B AH L N AH S
COMMUNICABLENESSES	K AH M Y UW N AH K AH B AH L N AH S IH Z
COMMUNICABLY	K AH M Y UW N AH K AH B L IY
COMMUNICANT	K AH M Y UW N AH K AH N T
COMMUNICANTS	K AH M Y UW N AH K AH N T S
COMMUNICATE	K AH M Y UW N AH K EY T
COMMUNICATED	K AH M Y UW N AH K EY T IH D
COMMUNICATEE	K AH M Y UW N AH K AH T IY
COMMUNICATEES	K AH M Y UW N AH K AH T IY Z
COMMUNICATES	K AH M Y UW N IH K EY T S
COMMUNICATING	K AH M Y UW N AH K EY T IH NG
COMMUNICATION	K AH M Y UW N AH K EY SH AH N
COMMUNICATIONAL	K AH M Y UW N AH K EY SH AH N AH L
COMMUNICATIONS	K AH M Y UW N AH K EY SH AH N Z
COMMUNICATIVE	K AH M Y UW N AH K AH T IH V
COMMUNICATIVELY	K AH M Y UW N AH K AH T IH V L IY
COMMUNICATIVENESS	K AH M Y UW N AH K AH T IH V N AH S
COMMUNICATIVENESSES	K AH M Y UW N AH K AH T IH V N AH S IH Z
COMMUNICATOR	K AH M Y UW N AH K EY T ER
COMMUNICATORS	K AH M Y UW N AH K EY T ER Z
COMMUNICATORY	K AH M Y UW N AH K AH T OW R IY
COMMUNISTICALLY	K AA M Y AH N IH S T IH K AH L IY
COMPLICACIES	K AA M P L AH K AH S IY Z
COMPLICACY	K AA M P L AH K AH S IY
COMPLICATE	K AA M P L AH K EY T
COMPLICATED	K AA M P L AH K EY T AH D
COMPLICATEDLY	K AA M P L AH K AH T AH D L IY
COMPLICATEDNESS	K AA M P L AH K AH T AH D N AH S
COMPLICATEDNESSES	K AA M P L AH K AH T AH D N AH S IH Z
COMPLICATES	K AA M P L IH K EY T S
COMPLICATING	K AA M P L AH K EY T IH NG
COMPLICATION	K AA M P L AH K EY SH AH N
COMPLICATIONS	K AA M P L AH K EY SH AH N Z
CONCANAVALIN	K AA N K AH N AE V AH L AH N
CONCANAVALINS	K AA N K AH N AE V AH L AH N Z
CONCATENATE	K AH N K AE T AH N EY T
CONCATENATED	K AH N K AE T AH N EY T AH D
CONCATENATES	K AH N K AE T AH N EY T S
CONCATENATING	K AH N K AE T AH N EY T IH NG
CONCATENATION	K AH N K AE T AH N EY SH AH N
CONCATENATIONS	K AH N K EY T AH N EY SH AH N Z
CONCAVE	K AA N K EY V
CONCAVED	K AA N K EY V D
CONCAVES	K AA N K EY V Z
CONCAVING	K AA N K EY V IH NG
CONCAVITIES	K AH N K AE V AH T IY Z
CONCAVITY	K AH N K AE V AH T IY
CONCENTRICALLY	K AH N S EH N T R IH K AH L IY
CONCEPTUALISTICALLY	K AH N S EH P CH AH W AH L IH S T IH K AH L IY
CONDUPLICATE	K AH N D UW P L IH K AH T
CONFISCABLE	K AH N F IH S K AH B AH L
CONFISCATABLE	K AA N F AH S K EY T AH B AH L
CONFISCATE	K AA N F AH S K EY T
CONFISCATED	K AA N F AH S K EY T AH D
CONFISCATES	K AA N F AH S K EY T S
CONFISCATING	K AA N F AH S K EY T IH NG
CONFISCATION	K AA N F AH S K EY SH AH N
CONFISCATIONS	K AA N F AH S K EY SH AH N Z
CONFISCATOR	K AA N F AH S K EY T ER
CONFISCATORS	K AA N F AH S K EY T ER Z
CONFISCATORY	K AH N F IH S K AH T AO R IY
CONFOCAL	K AH N F OW K AH L
CONFOCALLY	K AH N F OW K AH L IY
CONICAL	K AA N IH K AH L
CONICAL(2)	K OW N IH K AH L
CONICALLY	K AA N IH K AH L IY
CONTRAINDICATE	K AA N T R AH IH N D AH K AH T
CONTRAINDICATED	K AA N T R AH IH N D AH K EY T IH D
CONTRAINDICATES	K AA N T R AH IH N D AH K AH T S
CONTRAINDICATING	K AA N T R AH IH N D AH K EY T IH NG
CONTRAINDICATION	K AA N T R AH IH N D AH K EY SH AH N
CONTRAINDICATIONS	K AA N T R AH IH N D AH K EY SH AH N Z
CONVOCATION	K AA N V AH K EY SH AH N
CONVOCATIONAL	K AA N V AH K EY SH AH N AH L
CONVOCATIONS	K AA N V AH K EY SH AH N Z
COONCAN	K UW N K AE N
COONCANS	K UW N K AE N Z
COPYCAT	K AA P IY K AE T
COPYCATS	K AA P IY K AE T S
COPYCATTED	K AA P IY K AE T IH D
COPYCATTING	K AA P IY K AE T IH NG
CORNCAKE	K AO R N K EY K
CORNCAKES	K AO R N K EY K S
CORNIFICATION	K AO R N AH F AH K EY SH AH N
CORNIFICATIONS	K AO R N AH F AH K EY SH AH N Z
CORTICAL	K AO R T AH K AH L
CORTICALLY	K AO R T IH K AH L IY
CORUSCANT	K OW R AH S AH N T
CORUSCATE	K OW R AH S EY T
CORUSCATED	K OW R AH S EY T AH D
CORUSCATES	K OW R AH S EY T S
CORUSCATING	K OW R AH S EY T AH NG
CORUSCATION	K OW R AH S EY SH AH N
CORUSCATIONS	K OW R AH S EY T IY AH N Z
COSECANT	K OW S IY K AE N T
COSECANTS	K OW S IY K AE N T S
COSMETICALLY	K AO Z M EH T IH K L IY
COSMICAL	K AA Z M IH K AH L
COSMICALLY	K AA Z M IH K AH L IY
COSMOCHEMICAL	K AA S M AA K AH M IH S AH L
COSMOGONICAL	K OW S M AA G AO N IH K AH L
FLAB	F L AE B
BUB	B AH B
EPACT	EH P AH K T
GO	G OW
GUV	G AH V
PE	P IY
SOOCHONG	S UW CH AH NG
