CE	S IY
MYCELIAL	M AH S IY L IY AH L
MYCELIAN	M AH S IY L IY AH N
MYCELIUM	M AH S IY L IY AH M
MYCELOID	M IH S AH L OY D
MYCETOMA	M AH S EH T AH M AH
MYCETOMAS	M AH S EH T AH M AH Z
MYCETOMATA	M IH S AH T AA M AH T AH
MYCETOMATOUS	M IH S AH T AA M AH T AH S
MYCETOPHAGOUS	M AH S EH T AH F EY JH AH S
MYCETOZOAN	M IH S AH T AA Z OW AH N
MYCETOZOANS	M AH S EH T AH Z OW N Z
MYELENCEPHALA	M AY AH L AH N S EH F AH L AH
MYELENCEPHALIC	M AY AH L EH N S AH F AH L AH K
MYELENCEPHALON	M AY AH L AH N S EH F AH L AH N
MYELENCEPHALONS	M AY AH L AH N S EH F AH L AH N Z
MYXOMYCETE	M IH K S AA M AH S IY T
MYXOMYCETES	M IH K S AA M AH S IY T S
NACELLE	N AE S AH L
NACELLES	N AE S AH L Z
NANCE	N AE N S
NANCES	N AE N S AH Z
NARCEIN	N AA R S IY N
NARCEINE	N AA R S IY N
NARCEINES	N AA R S IY N Z
NARCEINS	N AA R S IY N Z
NASCENCE	N EY S AH N S
NASCENCES	N EY S AH N S IH Z
NASCENCIES	N EY S AH N S IY Z
NASCENCY	N EY S AH N S IY
NASCENT	N EY S AH N T
NAVICERT	N AE V AH S AH R T
NAVICERTS	N AE V AH S AH R T S
NECESSARIES	N EH S AH S EH R IY Z
NECESSARILY	N EH S AH S EH R AH L IY
NECESSARY	N EH S AH S EH R IY
NECESSITARIAN	N AH S EH S AH T EH R IY AH N
NECESSITARIANISM	N AH S EH S AH T AE R IY AH N IH Z AH M
NECESSITARIANISMS	N AH S EH S AH T AH R IY AH N AH Z AH M Z
NECESSITARIANS	N AH S EH S AH T AE R IY AH N Z
NECESSITATE	N AH S EH S AH T EY T
NECESSITATED	N AH S EH S AH T EY T AH D
NECESSITATES	N AH S EH S AH T EY T S
NECESSITATING	N AH S EH S IH T EY T IH NG
NECESSITATION	N IH S EH S AH T EY SH AH N
NECESSITATIONS	N IH S EH S AH T EY SH AH N Z
NECESSITIES	N AH S EH S IH T IY Z
NECESSITOUS	N IH S EH S AH T AH S
NECESSITOUSLY	N IH S EH S AH T AH S L IY
NECESSITOUSNESS	N IH S EH S AH T AH S N AH S
NECESSITOUSNESSES	N IH S EH S AH T AH S N AH S IH Z
NECESSITY	N AH S EH S AH T IY
NECESSITY(2)	N AH S EH S IH T IY
NECKLACE	N EH K L AH S
NECKLACES	N EH K L AH S IH Z
NECROMANCER	N EH K R AH M AE N S ER
NECROMANCERS	N EH K R AH M AE N S AH R Z
NEGLIGENCE	N EH G L AH JH AH N S
NEGLIGENCE(2)	N EH G L IH JH AH N S
NEGLIGENCES	N EH G L IH JH AH N S IH Z
NEOCORTICES	N IY AH K AO R T AH S
NESCIENCE	N EH SH AH N S
NESCIENCES	N AH SH AH N S AH Z
NEUROSCIENCE	N Y UH R OW S AY AH N S
NEUROSCIENCES	N Y UH R AH SH AH N S AH Z
NICE	N AY S
NICE(2)	N IY S
NICELY	N AY S L IY
NICENESS	N AY S N AH S
NICENESSES	N AY S N AH S IH Z
NICER	N AY S ER
NICEST	N AY S IH S T
NICETIES	N AY S IH T IY Z
NICETY	N AY S IH T IY
NIECE	N IY S
NIECES	N IY S IH Z
NITROCELLULOSE	N AY T R OW S EH L Y AH L OW S
NITROCELLULOSES	N IH T R AH S EH L AH L OW Z AH Z
NITROGLYCERIN	N AY T R OW G L IH S ER AH N
NITROGLYCERIN(2)	N AY T R AH G L IH S ER AH N
NITROGLYCERIN(3)	N AY CH R AH G L IH S ER AH N
NITROGLYCERINE	N AY T R OW G L IH S ER AH N
NITROGLYCERINE(2)	N AY T R AH G L IH S ER AH N
NITROGLYCERINE(3)	N AY CH R AH G L IH S ER AH N
NITROGLYCERINES	N AY T R OW G L IH S AH R AH N Z
NITROGLYCERINS	N IH T R AH G L IH S AH R AH N Z
NOCENT	N OW S AH N T
NOCICEPTIVE	N OW S IY S EH P T IH V
NONACCEPTANCE	N AA N AE K S EH P T AH N S
NONACCEPTANCES	N AA N AE K S EH P T AH N S IH Z
NONADJACENT	N AA N AH JH EY S AH N T
NONAPPEARANCE	N AA N AH P IH ER AH N S
NONAPPEARANCES	N AA N AH P IH ER AH N S IH Z
NONASCETIC	N AA N AH S EH T IH K
NONASCETICS	N AA N AH S EH T IH K S
NONATTENDANCE	N AA N AH T EH N D AH N S
NONATTENDANCES	N AA N AH T EH N D AH N S IH Z
NONCANCELABLE	N AA N K AE N S AH L AH B AH L
NONCANCEROUS	N AA N K AE N S ER AH S
NONCE	N AA N S
NONCELEBRATION	N AA N S EH L AH B R EY SH AH N
NONCELEBRATIONS	N AA N S EH L AH B R EY SH AH N Z
NONCELEBRITIES	N AA N S AH L EH B R AH T IY Z
NONCELEBRITY	N AA N S AH L EH B R AH T IY
NONCELLULAR	N AA N S EH L Y AH L ER
NONCELLULOSIC	N AA N S EH L Y AH L OW S IH K
NONCENTRAL	N AA N S EH N T R AH L
NONCERTIFICATED	N AA N S ER T IH F IH K AH T IH D
NONCERTIFIED	N AA N S ER T AH F AY D
NONCES	N AA N S IH Z
NONCHALANCE	N AA N SH AH L AA N S
NONCHALANCES	N AA N CH AH L AE N S AH Z
NONCOINCIDENCE	N AA N K OW IH N S AH D AH N S
NONCOINCIDENCES	N AA N K OW IH N S AH D AH N S IH Z
NONCOMPLIANCE	N AA N K AH M P L AY AH N S
NONCOMPLIANCES	N AA N K AH M P L AY AH N S IH Z
NONCONCEPTUAL	N AA N K AH N S EH P CH AH W AH L
NONCONCERN	N AA N K AH N S ER N
NONCONCERNS	N AA N K AH N S ER N Z
NONCONCURRENCE	N AA N K AH N K ER AH N S
NONCONCURRENCES	N AA N K AH N K ER AH N S IH Z
NONCONFERENCE	N AA N K AA N F AH R AH N S
NONCONFERENCES	N AA N K AA N F AH R AH N S IH Z
NONCONFIDENCE	N AA N K AA N F AH D AH N S
NONCONFIDENCES	N AA N K AA N F AH D AH N S IH Z
NONCONFORMANCE	N AA N K AH N F AO R M AH N S
NONCONFORMANCES	N AA N K AH N F AO R M AH N S IH Z
NONDANCE	N AA N D AE N S
NONDANCER	N AA N D AE N S ER
NONDANCERS	N AA N D AE N S ER Z
NONDANCES	N AA N D AE N S IH Z
NONDECEPTIVE	N AA N D IH S EH P T IH V
NONENFORCEABILITIES	N AA N EH N F OW R S AH B IH L AH T EH Z
NONENFORCEABILITY	N AA N EH N F OW R S AH B IH L AH T EH
NONENFORCEMENT	N AA N EH N F OW R S M AH N T
NONENFORCEMENTS	N AA N EH N F OW R S M AH N T S
NONEQUIVALENCE	N AA N IH K W IH V AH L AH N S
NONEQUIVALENCES	N AA N IH K W IH V AH L AH N S IH Z
NONEVIDENCE	N AA N EH V AH D AH N S
NONEVIDENCES	N AA N EH V AH D AH N S IH Z
NONEXISTENCE	N AA N EH G Z IH S T AH N S
NONEXISTENCES	N AA N EH G Z IH S T AH N S IH Z
NONFEASANCE	N AA N F IY Z AH N S
NONFEASANCES	N AA N F IY Z AH N S IH Z
NONFLUORESCENT	N AA N F L UH R EH S AH N T
NONINDEPENDENCE	N AA N IH N D IH P EH N D AH N S
NONINDEPENDENCES	N AA N IH N D IH P EH N D AH N S IH Z
NONINFLUENCE	N AA N IH N F L UW AH N S
NONINFLUENCES	N AA N IH N F L UW AH N S IH Z
NONINSURANCE	N AA N IH N SH UH R AH N S
NONINSURANCES	N AA N IH N SH UH R AH N S IH Z
NONINTERFERENCE	N AA N IH N T ER F IH R AH N S
NONINTERFERENCES	N AA N IH N T ER F IH ER AH N S IH Z
NONNECESSITIES	N AA N IH S EH S AH T IY Z
NONNECESSITY	N AA N IH S EH S AH T IY
NONOBSCENE	N AA N AA B S IY N
NONOBSERVANCE	N AA N AH B Z ER V AH N S
NONOBSERVANCES	N AA N AH B Z ER V AH N S IH Z
NONOCCURRENCE	N AA N AH K ER AH N S
NONOCCURRENCES	N AA N AH K ER AH N S IH Z
NONPERFORMANCE	N AA N P ER F AO R M AH N S
NONPERFORMANCES	N AA N P ER F AO R M AH N S IH Z
NONPOLICE	N AA N P AH L IY S
NONRECEIPT	N AA N R IH S IY T
NONRECEIPTS	N AA N R IH S IY T S
NONRESIDENCE	N AA N R EH Z AH D AH N S
NONRESIDENCES	N AA N R EH Z AH D AH N S IH Z
NONRESISTANCE	N AA N R IH Z IH S T AH N S
NONRESISTANCES	N AA N R IH Z IH S T AH N S IH Z
NONSCIENCE	N AA N S AY AH N S
NONSCIENCES	N AA N S AY AH N S IH Z
NONSENTENCE	N AA N S EH N T AH N S
NONSENTENCES	N AA N S EH N T AH N S IH Z
NONSUCCESS	N AA N S AH K S EH S
NONSUCCESSES	N AA N S AH K S EH S IH Z
NONVIOLENCE	N AA N V AY AH L AH N S
NONVIOLENCES	N AA N V AY AH L AH N S IH Z
NOSEPIECE	N OW Z P IY S
NOSEPIECES	N OW Z P IY S IH Z
NOTICE	N OW T AH S
NOTICE(2)	N OW T IH S
NOTICEABLE	N OW T AH S AH B AH L
NOTICEABLY	N OW T IH S AH B L IY
NOTICED	N OW T IH S T
NOTICER	N OW T AH S ER
NOTICERS	N OW T AH S ER Z
NOTICES	N OW T IH S IH Z
NOVICE	N AA V AH S
NOVICES	N AA V AH S IH Z
NUANCE	N UW AA N S
NUANCED	N UW AA N S T
NUANCES	N UW AA N S IH Z
NUCELLAR	N Y UW S EH L AH R
NUCELLI	N Y UW S EH L IY
NUCELLUS	N Y UW S EH L AH S
NUISANCE	N UW S AH N S
NUISANCES	N UW S AH N S IH Z
NURTURANCE	N ER CH ER AH N S
NURTURANCES	N ER CH ER AH N S IH Z
OBEDIENCE	OW B IY D IY AH N S
OBEDIENCES	OW B IY D IY AH N S IH Z
OBEISANCE	OW B EY S AH N S
OBEISANCES	OW B EY Z AH N S IH Z
OBLANCEOLATE	AA B L AE N S IY AH L EY T
OBSCENE	AA B S IY N
OBSCENE(2)	AH B S IY N
OBSCENELY	AA B S IY N AH L IY
OBSCENELY(2)	AA B S IY N L IY
OBSCENER	AA B S IY N ER
OBSCENEST	AA B S IY N AH S T
OBSCENITIES	AA B S EH N IH T IY Z
OBSCENITY	AH B S EH N IH T IY
OBSERVANCE	AH B Z ER V AH N S
OBSERVANCES	AH B Z ER V AH N S IH Z
OBSOLESCE	AA B S AH L EH S
OBSOLESCED	AA B S AH L EH S T
OBSOLESCENCE	AA B S AH L EH S AH N S
OBSOLESCENCES	AA B S AH L EH S AH N S IH Z
OBSOLESCENT	AA B S AH L EH S AH N T
OBSOLESCENTLY	AA B S AH L EH S AH N T L IY
OBSOLESCES	AA B S AH L EH S IH Z
OCCURRENCE	AH K ER AH N S
OCCURRENCES	AH K ER AH N S IH Z
OCEAN	OW SH AH N
OCEANARIA	OW S AH N AE R IY AH
OCEANARIUM	OW S AH N AE R IY AH M
OCEANARIUMS	OW S AH N AE R IY AH M Z
OCEANAUT	OW S IY N AH T
OCEANAUTS	OW S IY N AH Y UW T S
OCEANFRONT	OW SH AH N F R AH N T
OCEANFRONTS	OW SH AH N F R AH N T S
OCEANGOING	OW SH AH N G OW IH NG
OCEANIC	OW SH IY AE N IH K
OCEANOGRAPHER	OW SH AH N AA G R AH F ER
OCEANOGRAPHERS	OW S AH N AA G R AH F AH R Z
OCEANOGRAPHIC	OW SH AH N AH G R AE F IH K
OCEANOGRAPHICAL	OW SH AH N AH G R AE F IH K AH L
OCEANOGRAPHICALLY	OW SH AH N AH G R AE F IH K AH L IY
OCEANOGRAPHIES	OW SH AH N AA G R AH F IY Z
OCEANOGRAPHY	OW SH AH N AA G R AH F IY
OCEANOLOGIES	OW SH AH N AA L AH JH IY Z
OCEANOLOGIST	OW SH AH N AA L AH JH AH S T
OCEANOLOGISTS	OW SH AH N AA L AH JH AH S T S
OCEANOLOGY	OW SH AH N AA L AH JH IY
OCEANS	OW SH AH N Z
OCELLAR	AH S EH L AH R
OCELLATE	AA S AH L EY T
OCELLI	AH S EH L IY
OCELLUS	AH S EH L AH S
OCELOID	AA S AH L OY D
OCELOT	AA S AH L AA T
OCELOTS	AA S AH L AA T S
OFFENCE	AH F EH N S
OFFENCES	AH F EH N S IH Z
OFFICE	AO F AH S
OFFICEHOLDER	AO F AH S HH OW L D ER
OFFICEHOLDERS	AO F AH S HH OW L D ER Z
OFFICER	AO F AH S ER
OFFICER(2)	AO F IH S ER
OFFICERED	AO F AH S ER D
OFFICERING	AO F AH S ER IH NG
OFFICERS	AO F AH S ER Z
OFFICERS(2)	AO F IH S ER Z
OFFICES	AO F AH S AH Z
OFFICES(2)	AO F AH S IH Z
OLIVACEOUS	OW L AH V AH S IY AH S
OMNICOMPETENCE	AA M N AH K AA M P AH T AH N S
OMNICOMPETENCES	AA M N AH K AA M P AH T EH N S AH Z
OMNIFICENT	AA M N AH F IH S AH N T
OMNIPOTENCE	AA M N IH P AH T AH N S
OMNIPOTENCES	AA M N IH P AH T AH N S IH Z
OMNIPRESENCE	AA M N AH P R EH Z AH N S
OMNIPRESENCES	AA M N IH P R AH Z EH N S AH Z
OMNISCIENCE	AA M N IH SH AH N S
OMNISCIENCES	AA M N IH SH AH N S IH Z
ONCE	W AH N S
ONCES	W AH N S IH Z
ONCHOCERCIASES	AO NG K AH S AH R S IY EY Z AH Z
ONCHOCERCIASIS	AO NG K AH S AH R S IY AH S AH S
OPALESCE	AA P AH L EH S
OPALESCED	AA P AH L EH S T
OPALESCENCE	OW P AH L EH S AH N S
OPALESCENCES	OW P AH L EH S AH N S IH Z
OPALESCENT	OW P AH L EH S AH N T
OPALESCENTLY	OW P AH L EH S AH N T L IY
OPALESCES	AA P AH L EH S AH Z
OPERCELE	AA P AH R S IY L
OPERCELES	AA P AH R S IY L Z
OPULENCE	AA P Y AH L AH N S
OPULENCES	AA P Y AH L AH N S IH Z
ORATRICES	AH R AE T R AH S
ORCEIN	AO R S IY N
ORCEINS	AO R S IY N Z
ORCHIDACEOUS	AO R K AH D EY S AH S
ORDINANCE	AO R D AH N AH N S
ORDINANCES	AO R D AH N AH N S IH Z
ORDNANCE	AO R D N AH N S
ORDNANCES	AO R D N AH N S IH Z
ORDONNANCE	AO R D AA N AH N S
ORDONNANCES	AO R D AA N AE N S AH Z
ORIFICE	AO R AH F AH S
ORIFICES	AO R AH F AH S AH Z
ORRICE	AO R AH S
ORRICES	AO R AH S
ORTHOCENTER	AO R TH AH S EH N T AH R
ORTHOCENTERS	AO R TH AH S EH N T AH R Z
OUNCE	AW N S
OUNCES	AW N S AH Z
OUNCES(2)	AW N S IH Z
OUTBALANCE	AW T B AE L AH N S
OUTBALANCED	AW T B AE L AH N S T
OUTBALANCES	AW T B AE L AH N S IH Z
OUTDANCE	AW T D AE N S
OUTDANCED	AW T D AE N S T
OUTDANCES	AW T D AE N S IH Z
OUTDISTANCE	AW T D IH S T AH N S
OUTDISTANCED	AW T D IH S T AH N S T
OUTDISTANCES	AW T D IH S T AH N S IH Z
OUTFACE	AW T F EY S
OUTFACED	AW T F EY S T
OUTFACES	AW T F EY S IH Z
OUTPACE	AW T P EY S
OUTPACED	AW T P EY S T
OUTPACES	AW T P EY S IH Z
OUTPLACEMENT	AW T P L EY S M AH N T
OUTPLACEMENTS	AW T P L EY S M AH N T S
OUTPRICE	AW T P R AY S
OUTPRICED	AW T P R AY S T
OUTPRICES	AW T P R AY S IH Z
OUTPRODUCE	AW T P R AH D UW S
OUTPRODUCED	AW T P R AH D UW S T
OUTPRODUCES	AW T P R AH D UW S IH Z
OUTRACE	AW T R EY S
OUTRACED	AW T R EY S T
OUTRACES	AW T R EY S IH Z
OUTRANCE	AW T R AH N S
OUTRANCES	AW T R AE N S AH Z
OUTREPRODUCE	AW T R IY P R AH D UW S
OUTREPRODUCED	AW T R IY P R AH D UW S T
OUTREPRODUCES	AW T R IY P R AH D UW S IH Z
OUTVOICE	AW T V OY S
OUTVOICED	AW T V OY S T
OUTVOICES	AW T V OY S IH Z
OVERABUNDANCE	OW V ER AH B AH N D AH N S
OVERABUNDANCES	OW V ER AH B AH N D AH N S IH Z
OVERACCENTUATE	OW V ER AE K S EH N CH AH W AH T
OVERACCENTUATED	OW V ER AE K S EH N CH AH W EY T IH D
OVERACCENTUATES	OW V ER AE K S EH N CH AH W AH T S
OVERACCENTUATING	OW V ER AE K S EH N CH AH W EY T IH NG
OVERBALANCE	OW V ER B AE L AH N S
OVERBALANCED	OW V ER B AE L AH N S T
OVERBALANCES	OW V ER B AE L AH N S IH Z
OVERCENTRALIZATION	OW V ER S EH N T R AH L AH Z EY SH AH N
OVERCENTRALIZATIONS	OW V ER S EH N T R AH L AH Z EY SH AH N Z
OVERCENTRALIZE	OW V ER S EH N T R AH L AY Z
OVERCENTRALIZED	OW V ER S EH N T R AH L AY Z D
OVERCENTRALIZES	OW V ER S EH N T R AH L AY Z IH Z
OVERCENTRALIZING	OW V ER S EH N T R AH L AY Z IH NG
OVERCOMPLIANCE	OW V ER K AH M P L AY AH N S
OVERCOMPLIANCES	OW V ER K AH M P L AY AH N S IH Z
OVERCONCENTRATION	OW V ER K AA N S AH N T R EY SH AH N
OVERCONCENTRATIONS	OW V ER K AA N S AH N T R EY SH AH N Z
OVERCONCERN	OW V ER K AH N S ER N
OVERCONCERNED	OW V ER K AH N S ER N D
OVERCONCERNING	OW V ER K AH N S ER N IH NG
OVERCONCERNS	OW V ER K AH N S ER N Z
OVERCONFIDENCE	OW V ER K AA N F IH D AH N S
OVERCONFIDENCES	OW V ER K AA N F AH D AH N S IH Z
OVERDEPENDENCE	OW V ER D IH P EH N D AH N S
OVERDEPENDENCES	OW V ER D IH P EH N D AH N S IH Z
OVERDOMINANCE	OW V ER D AA M AH N AH N S
OVERDOMINANCES	OW V ER D AA M AH N AH N S IH Z
OVERINDULGENCE	OW V ER IH N D AH L JH AH N S
OVERINDULGENCES	OW V ER IH N D AH L JH AH N S IH Z
OVERISSUANCE	OW V ER IH SH UW AH N S
OVERISSUANCES	OW V ER IH SH UW AH N S IH Z
OVERNICE	OW V ER N AY S
OVERPRICE	OW V ER P R AY S
OVERPRICED	OW V ER P R AY S T
OVERPRICES	OW V ER P R AY S IH Z
OVERPROCESS	OW V ER P R AA S EH S
OVERPROCESSED	OW V ER P R AA S EH S T
OVERPROCESSES	OW V ER P R AA S EH S IH Z
OVERPROCESSING	OW V ER P R AA S EH S IH NG
OVERPRODUCE	OW V ER P R AH D UW S
OVERPRODUCED	OW V ER P R AH D UW S T
OVERPRODUCES	OW V ER P R AH D UW S IH Z
OVERRELIANCE	OW V ER R IH L AY AH N S
OVERRELIANCES	OW V ER R IH L AY AH N S IH Z
OVERSAUCE	OW V ER S AO S
OVERSAUCED	OW V ER S AO S T
OVERSAUCES	OW V ER S AO S IH Z
OVERSERVICE	OW V ER S ER V AH S
OVERSERVICED	OW V ER S ER V AH S T
OVERSERVICES	OW V ER S ER V AH S IH Z
OXALACETATE	AA K S AH L AE S AH T EY T
OXALACETATES	AA K S AH L AE S AH T EY T S
OXALOACETATE	AA K S AH L OW S AH T EY T
OXALOACETATES	AA K S AH L OW S AH T EY T S
OXYACETYLENE	AA K S AY AH S EH T AH L IY N
OZOCERITE	AH Z AA S AH R AY T
OZOCERITES	AH Z AA S AH R AY T S
PACE	P EY S
PACED	P EY S T
PACEMAKER	P EY S M EY K ER
PACEMAKERS	P EY S M EY K ER Z
PACEMAKING	P EY S M EY K IH NG
PACEMAKINGS	P EY S M EY K IH NG Z
PACER	P EY S ER
PACERS	P EY S ER Z
PACES	P EY S IH Z
PACESETTER	P EY S EH T ER
PACESETTERS	P EY S EH T ER Z
PACESETTING	P EY S EH T IH NG
PALACE	P AE L AH S
PALACED	P AE L AH S T
PALACES	P AE L AH S IH Z
PALEFACE	P EY L F EY S
PALEFACES	P EY L F EY S IH Z
PANACEA	P AE N AH S IY AH
PANACEAN	P AH N EY S IY AH N
PANACEAS	P AE N AH S IY AH Z
PANCETTA	P AE N S EH T AH
PANCETTAS	P AE N S EH T AH Z
PAPILIONACEOUS	P AE P IH L Y AH N EY S AH S
PARCEL	P AA R S AH L
PARCELED	P AA R S AH L D
PARCELING	P AA R S AH L IH NG
PARCELING(2)	P AA R S L IH NG
PARCELLED	P AA R S AH L D
PARCELLING	P AA R S AH L IH NG
PARCELS	P AA R S AH L Z
PARCENARIES	P AA R S EH N AH R AY Z
PARCENARY	P AA R S AH N EH R IY
PARCENER	P AA R S IY N AH R
PARCENERS	P AA R S AH N AH R Z
PARLANCE	P AA R L AH N S
PARLANCES	P AA R L AH N S IH Z
PATIENCE	P EY SH AH N S
PATIENCES	P EY SH AH N S IH Z
PEACE	P IY S
PEACEABLE	P IY S AH B AH L
PEACEABLENESS	P IY S AH B AH L N AH S
PEACEABLENESSES	P IY S AH B AH L N AH S IH Z
PEACEABLY	P IY S AH B L IY
PEACED	P IY S T
PEACEFUL	P IY S F AH L
PEACEFULLER	P IY S F AH L ER
PEACEFULLEST	P IY S F AH L AH S T
PEACEFULLY	P IY S F AH L IY
KUCHEN	K AH CH AH N
EUTROPHIC	Y UW T R AH F AH K
BHAKTA	B AA K T AH
UINTAHITE	UW N T AH HH AY T
OITICICA	OY T AH S IY K AH
SEA	S IY
FLAB	F L AE B
